"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","class","relatedCatalogItem"
"48","2020-07-23 12:22:30-03","CEPLAC","CEPEC","81365","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa",NA,NA,"A. M. Amorim","2267","1998","02","21",NA,"Brasil","Bahia","Rod. Ussari/Palmira. Entrada ca. 7,5Km de Jussari. Faz. Teimoso. RPPN Serra do Teimoso. Árvore 489.",NA,"<ll>dwc_commonname:</ll> Bapeba",NA,NA,"P. Fiaschi","JUSSARÍ","-39.528611","-15.158056",NA,NA,NA,NA,NA,NA,NA,"39W31'43","15S9'29",NA,NA,"30/12/2003"
"49","2020-07-23 12:22:30-03","CEPLAC","CEPEC","84490","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa",NA,NA,"J. G. Jardim","2395","2000","01","14",NA,"Brasil","Bahia","Entrada a 7,5Km Ro. Jussari/Palmira. Faz. Teimoso, 1,7Km da entrada. RPPN Serra do Teimoso. Parcela 29. Árvore 821.",NA,NA,NA,NA,"P. Fiaschi","JUSSARÍ","-39.536111","-15.160278",NA,NA,NA,NA,NA,NA,NA,"39W32'10","15S9'37",NA,NA,"30/03/2003"
"50","2020-07-23 12:22:30-03","CEPLAC","CEPEC","94325","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa",NA,NA,"P. Fiaschi","1194",NA,NA,NA,NA,"Brasil","Bahia","Estrada Jussari/Palmira, entrada a esquerda ca. 7,5Km. Faz. Teimoso. RPPN Serra do teimoso.",NA,NA,NA,NA,"P. Fiaschi","JUSSARÍ","-39.528611","-15.158056",NA,NA,NA,NA,NA,NA,NA,"39W31'43","15S9'29",NA,NA,"30/08/2003"
"51","2020-07-23 12:22:30-03","CEPLAC","CEPEC","124879","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa",NA,NA,"A. Alves-Araújo","1185","2008","05","02",NA,"Brasil","Bahia","RPPN Serra Bonita.",NA,NA,NA,NA,"A. Alves-Araújo","CAMACAN","-39.4958000183105","-15.4191999435425",NA,NA,NA,"22686","auto",NA,NA,NA,NA,NA,NA,"30/12/2009"
"52","2020-07-23 12:22:30-03","CEPLAC","CEPEC","93611","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa",NA,NA,"J. L. da Paixão","165","2002","03","29",NA,"Brasil","Bahia","Rod. Jussari/Palmira, entrada ca. 7,5Km de Jussari. Faz. Teimoso. RPN Serra do Teimoso.",NA,NA,NA,NA,"P. Fiaschi","JUSSARÍ","-39.528611","-15.158056",NA,NA,NA,NA,NA,NA,NA,"39W31'43","15S9'29",NA,NA,"30/12/2003"
"53","2020-07-23 12:22:30-03","CEPLAC","CEPEC","124651","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa",NA,NA,"A. Alves-Araújo","1189","1988","12","03",NA,"Brasil","Bahia","RPPN Serra Bonita.",NA,NA,NA,NA,"A. Alves-Araújo","CAMACAN","-39.4958000183105","-15.4191999435425",NA,NA,NA,"22686","auto",NA,NA,NA,NA,NA,NA,"30/12/2009"
"54","2020-05-22 17:52:56-03","UFMT","UFMT","11208","S","Plantae",NA,NA,"Sapotaceae","Lucuma","butyrocarpa","Lucuma butyrocarpa","Kuhlm.","Isotype","Kuhlmann, J.G.","s.n.","1934","04","07",NA,"Brasil","Espírito Santo","Rio Doce, Colonia e Goytacazes.",NA,"árvore grande, fruto comestível.","UFMT00011208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2021-03-04 15:42:58-03","IF","SPSF","48164","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D.Peen.",NA,"A.A.Luz","225","2004","09","01","América do Sul","Brasil","MG",NA,NA,"COLETA: Porte arbóreo; fruto imaturo verde e maduro amarelo; exsudação Latex incolor; casca áspera; altura 15m; fuste cilíndrico com 7m de altura e CAP 60cm; diâmetro da copa 7m. &nf;Nome Popular - Mantegueira; GEOGRAFIA: Estrada Quatituba - C.Queijada.&nf;C",NA,NA,"T.D.Pennington","Santa Rita do Itueto","-41.3800010681152","-19.3596992492676",NA,NA,"2010","22522","auto","12","01",NA,NA,NA,"Magnoliopsida",NA
"56","2019-11-21 10:19:13-03","IBt","SP","468492","S","Plantae",NA,NA,"Sapotaceae","Lucuma","butyrocarpa","Lucuma butyrocarpa","Kuhlm.","Isolectotype","Kuhlmann, JG","s.n.","1934","04","07",NA,"Brasil","Espírito Santo","Colonia e Gioitacazes",NA,"Árvore grande, fruto comestível","SP002938","SP002938",NA,"Rio Doce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2020-10-08 08:53:41-03","IBt","SP","335283","S","Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T.D.Penn.",NA,"Amorim, AM","2663","1998","11","21",NA,"Brasil","Bahia",NA,NA,NA,NA,NA,NA,"Jussari","-39.4953002929688","-15.1913995742798",NA,NA,NA,"21386","auto",NA,NA,NA,NA,NA,NA,NA
"58","2014-09-23 10:59:41-03","G","G","G00439405","S","Plantae",NA,NA,"Sapotaceae","Pouteria","butyrocarpa","Pouteria butyrocarpa","(Kuhlm.) T. D. Penn.","ISOLECTOTYPUS of Lucuma butyrocarpa Kuhlm.","Kuhlmann, J. G.","28903","1934","05","14","AMERIQUE DU SUD","Brazil","Espirito Santo",NA,NA,"Coordinate uncertainty: Precision undefined Image URL: No picture available on the institution's web site","G00439405",NA,"Pennington, T. D.","Colatina","-40.62666667","-19.54916667",NA,NA,"1986",NA,NA,"01","01","-40.62666667","-19.54916667",NA,NA,NA
