"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount"
"47","2021-02-11 17:20:09-03","UFPR","UPCB","64466","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","robusta","Miconia robusta","Cogn.","Goldenberg, R.","Caddah, M.K.","640","2009","08","04",NA,"Brasil","São Paulo","Queluz","Margem do Rio das Cruzes, próximo à pousada Águas da Marambaia",NA,"-22.763056","975","975",NA,"Arvoreta ca. 2 m, lâminas com até 54,5 x 22 cm, coleta em sílica..","UPCB0020348","UPCB0020348",NA,NA,NA,NA,"2016",NA,NA,NA,"-22.763056",NA,NA,NA
"48","2021-02-11 17:20:09-03","UFPR","UPCB","50168","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","robusta","Miconia robusta","Cogn.","Goldenberg, R.","Rocha, M.J.R.","55","2004","10","18",NA,"Brasil","Minas Gerais","Juiz de Fora","Mata do Luna, entorno Parque Estadual Ibitipoca","-43.3502998352051","-21.7642002105713",NA,NA,NA,"Árvore ereta, 5-6m, caule um pouco suberizado. Floresta estacional semidecidual submontana. Alt.: 1200m s.n.m..","UPCB0020349","UPCB0020349",NA,NA,"36144","auto","2016",NA,NA,NA,NA,NA,NA,NA
"49","2021-02-11 17:20:09-03","UFPR","UPCB","45475","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","robusta","Miconia robusta","Cogn.","Goldenberg, R.","Pifano, D.S.","135","2001","09","20",NA,"Brasil","Minas Gerais","Juiz de Fora","Morro do Imperador","-43.3502998352051","-21.7642002105713",NA,NA,NA,"Arbusto ca. 3m, flores brancas com anteras e estigmas brancos. Beira da trilha em local de encosta e clareira..","UPCB0020341","UPCB0020341",NA,NA,"36144","auto","2016",NA,NA,NA,NA,NA,NA,NA
"50","2021-02-11 17:20:09-03","UFPR","UPCB","50134","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","robusta","Miconia robusta","Cogn.","Goldenberg, R.","Salimena, F.R.G.",NA,"2004","06","05",NA,"Brasil","Minas Gerais","Juiz de Fora","Parque da Lajinha, Mata do CEDAM","-43.3502998352051","-21.7642002105713",NA,NA,NA,"Arvoreta ca. 3,5m, frutos imaturos verdes, folhas grandes e longas..","UPCB0020351","UPCB0020351",NA,NA,"36144","auto","2016",NA,NA,NA,NA,NA,NA,NA
"51","2021-02-23 16:20:39-03","UFPR","UPCB","97142","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","robusta","Miconia robusta","Cogniaux","Bacci, L. F. | Michelangeli, F.","Bacci, L. F. | Michelangeli, F. | Bochorny, T.","391","2019","07","04",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia - Parte baixa - trilha antes da bifurcação para as cachoeiras.","-44.5633010864258","-22.4960994720459","1007","1007",NA,"Mata Atlântica. Arvoreta ca. 1 m alt. Frutos imaturos verdes, maduros arroxeados.","UPCB0046982",NA,NA,NA,"19648","auto","2019",NA,NA,NA,NA,NA,NA,NA
"52","2021-02-11 17:20:09-03","UFPR","UPCB","62981","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","robusta","Miconia robusta","Cogn.","Goldenberg, R.","Valente, A.S.M.",NA,"2007","01","01",NA,"Brasil","Minas Gerais","Rio Preto","Serra Negra.","-43.8278007507324","-22.0891990661621",NA,NA,NA,NA,"UPCB0020335","UPCB0020335",NA,NA,"20815","auto","2016",NA,NA,NA,NA,NA,NA,NA
"53","2021-02-11 17:20:09-03","UFPR","UPCB","91918","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.","Baumgratz, J.F.A.","Matinelli, G. et al.","10738","1985","04","30",NA,"Brasil","Rio de Janeiro","Resende","Parque Nacional do Itatiaia. Picada macieiras, matas secundárias","-44.4467010498047","-22.468900680542","1050","1250",NA,"Arvoreta. Semi-heliófila; frequente; folhas na face dorsal cinérea com nervuras vermelho-claras; ramos ferrugíneos, aveludados; frutos imaturos verdes, maduros nigrescentes. Altura: 5m..","UPCB0033379","UPCB0033379",NA,NA,"36089","auto","2007","10",NA,NA,NA,NA,NA,NA
"54","2013-08-09 16:28:00-03","MO","MOBOT","100619692","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","robusta","Miconia robusta","Cogn.",NA,"Auguste F.M. Glaziou","Glaziou 8689",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype",NA,"1"
"55","2020-07-10 09:47:32-03","MBML","MBML-HERBARIO","44796",NA,"Plantae",NA,NA,"Melastomataceae","Miconia","robusta","Miconia robusta","Cogn.","R. Goldenberg/2015","A. D. Mattedi; et al","19","2009","03","07",NA,"Brasil","Espírito Santo","Venda Nova do Imigrante","Alto Caxixe","-41.094139","-20.411083",NA,NA,NA,"9m, abaxial das folhas é marrom/laranja","MBML044796","MBML044796",NA,NA,NA,NA,NA,NA,NA,"41W5'38,9","20S24'39,9",NA,NA,NA
"56","2020-07-10 09:47:32-03","MBML","MBML-HERBARIO","832",NA,"Plantae",NA,NA,"Melastomataceae","Miconia","robusta","Miconia robusta","Cogn.","R. Goldenberg/2018","J. M. Vimercat","152","1984","05","24",NA,"Brasil","Espírito Santo","Santa Teresa","São Lourenço","-40.620556","-19.931111",NA,NA,NA,"Arbusto de 2m, frutos jovens, solo escuro.","MBML000832","MBML000832",NA,NA,NA,NA,NA,NA,NA,"40W37'14","19S55'52",NA,NA,NA
"57","2020-07-10 09:47:32-03","MBML","MBML-HERBARIO","8563",NA,"Plantae",NA,NA,"Melastomataceae","Miconia","robusta","Miconia robusta","Cogn.","R. Goldenberg/2015","L. Kollmann; E. Bausen","1388","1998","12","29",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica Caixa D'Água","-40.6075","-19.931389",NA,NA,NA,"Arbusto 3m. Frutos verdes.","MBML008563","MBML008563",NA,NA,NA,NA,NA,NA,NA,"40W36'27","19S55'53",NA,NA,NA
"58","2020-07-10 09:47:32-03","MBML","MBML-HERBARIO","8567",NA,"Plantae",NA,NA,"Melastomataceae","Miconia","robusta","Miconia robusta","Cogn.","R. Goldenberg/2015","L. Kollmann; E. Bausen & W. Pizziolo","1062","1998","11","18",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica Caixa D'Água","-40.6075","-19.931389",NA,NA,NA,"Capoeirão. Arbusto 2m. Flores brancas. Folhas rosadas por baixo.","MBML008567","MBML008567",NA,NA,NA,NA,NA,NA,NA,"40W36'27","19S55'53",NA,NA,NA
"59","2020-09-12 05:00:02-03","US","US","292558","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","robusta","Miconia robusta","Cogn. in Mart.",NA,"A. F. M. Glaziou","8689",NA,NA,NA,"South America - Neotropics","Brazil","Rio de Janeiro",NA,"Rio de Janeiro.",NA,NA,NA,NA,NA,NA,"US01106436","US01106436_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"Isotype; Isotype",NA,"1"
"60","2020-09-12 05:00:02-03","US","US","3505837","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","robusta","Miconia robusta","Cogn. in Mart.",NA,"R. Goldenberg & R. Belinello",NA,"1995","4","7","South America - Neotropics","Brazil","São Paulo","Queluz","Margens do Rio das Cruzes","-44.7817","-22.4556",NA,NA,NA,NA,"US01918409","US01918409_01 US01918409_02","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"61","2020-09-12 05:00:02-03","US","US","3192254","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","robusta","Miconia robusta","Cogn. in Mart.",NA,"J. Vimercat",NA,"1984","5","24","South America - Neotropics","Brazil","Espírito Santo","Santa Teresa","Valão de São Lourenço","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,"US01918410","US01918410_01 US01918410_02","Dicotyledonae",NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA,"1"
"62","2020-09-12 05:00:02-03","US","US","2623573","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","robusta","Miconia robusta","Cogn. in Mart.",NA,"O. Silveira",NA,"1932","4","10","South America - Neotropics","Brazil","Rio de Janeiro","Itatiaia","Repouso do Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"US01918412","US01918412_01 US01918412_02","Dicotyledonae",NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,"1"
"63","2020-09-12 05:00:02-03","US","US","2623721","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","robusta","Miconia robusta","Cogn. in Mart.",NA,"A. P. Duarte",NA,"1947","1","8","South America - Neotropics","Brazil","Rio de Janeiro","Itatiaia","Km 9","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"US01918411","US01918411_01 US01918411_02","Dicotyledonae",NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,"1"
"64","2019-12-09 17:30:15-03","UFPR","EFC","14123","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","cinerascens robusta","Miconia cinerascens robusta","Wurdack","Ribeiro, C.L.","Ribeiro, C.L.","193","2015","04","29",NA,"Brasil","Paraná","Guaraqueçaba","Salto morato","-48.2977","-25.1752",NA,NA,NA,"Miconia cinerascens var. robusta Wurdack","EFC014123",NA,NA,NA,NA,NA,"2015","04","05","-48.2977","-25.1752",NA,NA,NA
"65","2019-09-05 14:19:39-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Miconia","robusta","Miconia robusta",NA,NA,"P. A. Sagot","220","1858",NA,NA,"South America","French Guiana",NA,NA,NA,"-52.9708","3.8558",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA
"66","2019-09-04 17:40:13-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima",NA,NA,"A. Glaziou","8689","1887","7","30","South America","Brazil","Rio de Janeiro",NA,"Nova Friburgo",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,"Syntype",NA,NA
"67","2019-01-23 10:08:04-02","F","FMNH-SEEDPLANTS","V0093074F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima",NA,NA,"A. Glaziou","8689","1887","7","30","South America","Brazil","Rio de Janeiro",NA,"Nova Friburgo",NA,NA,NA,NA,NA,NA,"V0093074F","V0093074F_01","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,"Isosyntype",NA,NA
"68","2019-01-23 10:08:04-02","F","FMNH-SEEDPLANTS","V0093075F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima",NA,NA,"A. Glaziou","8689","1887","7","30","South America","Brazil","Rio de Janeiro",NA,"Nova Friburgo",NA,NA,NA,NA,NA,NA,"V0093075F","V0093075F_01","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,"Isosyntype",NA,NA
"69","2020-07-23 12:13:24-03","CEPLAC","CEPEC","124881","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima",NA,"L. A. F. Santos-Filho & Baumgratz","L. A. F. Santos-Filho","7",NA,NA,NA,NA,"Brasil","Rio de Janeiro","ITATIAIA",NA,"-44.5633010864258","-22.4960994720459",NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA
"70","2020-11-04 17:29:46-03","UEM","HUEM","6119","S","Plantae",NA,NA,"Melastomataceae","Miconia","cinerascens var. robusta","Miconia cinerascens var. robusta","Wurdack","Goldenberg, R. in dup.ESA","K.D. Barreto; G.D. Fernandes; R.D. Fernandes","3309","1994","11","30",NA,"Brasil","São Paulo","Juquiá","Sítio Areia Dourada (Assungui), Mata Atlântica; borda de mata.","-47.644528","-24.180222",NA,NA,NA,"Arvoreta; 3m alt.; flores verde-claras.","HUEM000007174","HUEM000007174",NA,NA,NA,NA,"1998","01","01","-47.644528","-24.180222",NA,NA,NA
"71","2020-11-04 17:29:46-03","UEM","HUEM","11099","S","Plantae",NA,NA,"Melastomataceae","Miconia","cinerascens var. robusta","Miconia cinerascens var. robusta","Wurdack","G.Hatschbach","A.Soares; W. Maschio","85","1997","05","15",NA,"Brasil","Paraná","Guaraqueçaba",NA,"-48.3288993835449","-25.3066997528076",NA,NA,NA,"Floresta Ombrófila Densa Submontana.","HUEM000007173","HUEM000007173",NA,NA,"37295","auto","1997","09","03",NA,NA,NA,NA,NA
"72","2020-11-04 17:29:46-03","UEM","HUEM","11098","S","Plantae",NA,NA,"Melastomataceae","Miconia","cinerascens var. robusta","Miconia cinerascens var. robusta","Wurdack","G.Hatschbach","S.R.Ziller; A.Soares","800","1995","04","12",NA,"Brasil","Paraná","Guaraqueçaba","Serra Negra, Fazenda Guam Agro-Industrial","-48.3288993835449","-25.3066997528076",NA,NA,NA,"Floresta Ombrófila Densa Submontana.","HUEM000007172","HUEM000007172",NA,NA,"37295","auto","1995","06","06",NA,NA,NA,NA,NA
"73","2019-05-06 11:59:49-03","UFU","HUFU","56148a","S","Plantae",NA,NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.","Goldenberg, R.","Soares, A.O.; et al.","s.n.","2003","04","25",NA,"Brasil","Minas Gerais","Juíz de Fora","Faculdade de Farmácia, UFJF.","-43.3502998352051","-21.7642002105713",NA,NA,NA,"Arvoreta.; Mata.","HUFU00062389","HUFU00062389",NA,NA,"36144","auto","2010",NA,NA,NA,NA,NA,NA,NA
"74","2021-02-23 13:22:45-03","MN","R-TIPOS","9599","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.",NA,"Glaziou, A.F.M.","8689","1887","06","30",NA,"Brasil","Rio de Janeiro","Nova Friburgo",NA,"-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,"R000009599","R000009599_001",NA,NA,"33190","auto",NA,NA,NA,NA,NA,"Isotypus",NA,NA
"75","2021-02-23 13:22:45-03","MN","R-TIPOS","9599a","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.",NA,"Glaziou, A.F.M.","8689","1887","07","27",NA,"Brasil","Rio de Janeiro","Nova Friburgo",NA,"-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,"R000009599a","R000009599a_001",NA,NA,"33190","auto",NA,NA,NA,NA,NA,"Isotypus",NA,NA
"76","2021-02-23 13:22:45-03","MN","R-TIPOS","9599b","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.",NA,"Glaziou, A.F.M.","8689","1887","07","27",NA,"Brasil","Rio de Janeiro","Nova Friburgo",NA,"-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,"R000009599b","R000009599b_001",NA,NA,"33190","auto",NA,NA,NA,NA,NA,"Isotypus",NA,NA
"77","2020-08-20 14:57:59-03","UFSC","FLOR","41231","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.","Oliveira, A.S. de","Korte, A.; Rigon Jr, M.J.","5476","2010","12","07",NA,"Brasil","Santa Catarina","Araranguá",NA,"-49.320833","-28.890278","8","8",NA,"arbusto, 3m altura. Recebida de FURB Nº 33468.","FLOR0041231",NA,NA,NA,NA,NA,"2011","11","07","49º19'15''W","28º53'25''S",NA,NA,NA
"78","2020-08-20 14:57:59-03","UFSC","FLOR","40807","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.","Baumgratz, J.F.A.","Baumgratz, J.F.A.; Damaisceno, R.; et alii","1111","2009","05","05",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Naciona do Itatiaia. Trilha Maromba a Macieiras (travessia Rui Braga, Sede Rebouças).","-44.5633010864258","-22.4960994720459","1369","1369",NA,"arvoreta com ramos e raque ferrugíneos, quadrangulares; folhas verdes discolores, face adaxial bulada, abaxial reticulada, Fruto Maduro, roxo-nigrescentes; jovens verdes, 3m altura. Recebido de RB Nº 480860.","FLOR0040807",NA,NA,NA,"19648","auto","2009","05",NA,"44º37'68''W","22º25'75''S",NA,NA,NA
"79","2020-08-20 14:57:59-03","UFSC","FLOR","41124","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.","Santos Filho, L.A.F.; Baumgrat","Santos Filho, L.A.F.; Baumgratz, J.F.A.","7","2008","04","20",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque nacional do Itatiaia, trilha para Tr~es Picos.","-44.5633010864258","-22.4960994720459","1000","1000",NA,"arvoreta, flor infrutescência pardacenta, frutos jovens verdes, maduros nigrescentes, 4m altura. Ramos e pecíolos pardacentos, folhas face adaxial verdes, abaxial vinosa passando a pardacenta / Projeto Diversidade taxonômica.","FLOR0041124",NA,NA,NA,"19648","auto","2008","04","20",NA,NA,NA,NA,NA
"80","2019-11-21 10:10:16-03","IBt","SP","215081","S","Plantae",NA,NA,"Melastomataceae","Miconia","robusta","Miconia robusta","Cogn.","Caddah, MK","Krieger, L","7391","1969","10",NA,NA,"Brasil","Minas Gerais","Juiz de Fora",NA,"-43.3502998352051","-21.7642002105713",NA,NA,NA,NA,NA,NA,NA,NA,"36144","auto","2012","08","02",NA,NA,NA,NA,NA
"81","2019-11-21 10:10:16-03","IBt","SP","327629","S","Plantae",NA,NA,"Melastomataceae","Miconia","robusta","Miconia robusta","Cogn.","Caddah, MK","Krieger, L","s.n.","1987","10","30",NA,"Brasil","Minas Gerais","Juiz de Fora","Juiz de Fora - São Pedro","-43.3502998352051","-21.7642002105713",NA,NA,NA,NA,NA,NA,NA,NA,"36144","auto","2012","08","02",NA,NA,NA,NA,NA
"82","2019-11-21 10:10:16-03","IBt","SP","327628","S","Plantae",NA,NA,"Melastomataceae","Miconia","robusta","Miconia robusta","Cogn.","Caddah, MK","Garcia, VLA","s.n.","1988","03","22",NA,"Brasil","Minas Gerais","Juiz de Fora","Reserva biológica do Poço D'Antas","-43.3502998352051","-21.7642002105713",NA,NA,NA,"CESJ 22282",NA,NA,NA,NA,"36144","auto","2012","08","02",NA,NA,NA,NA,NA
"83","2014-09-23 10:58:42-03","G","G","G00368360","S","Plantae",NA,NA,"Melastomataceae","Miconia","robustissima","Miconia robustissima","Cogn.","Caddah, M.","Glaziou, A. F. M.","8689","1886",NA,"00","AMERIQUE DU SUD","Brazil","Rio de Janeiro",NA,NA,"-42.9125","-22.48222222",NA,NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00368360",NA,NA,NA,NA,NA,"2012","01","01","-42.9125","-22.48222222","ISOLECTOTYPUS of Miconia robusta Cogn.",NA,NA
