"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","fieldNumber","individualCount","previousCatalogNumber"
"11","2021-03-01 16:41:30-03","UNICAMP","UEC","14737","S","Plantae","Magnoliopsida",NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Hatschbach, G","39852",NA,"Brazil","Paraná","Porto Verde.",NA,"Pequena árvore, 5m de altura; flores alvecentes.; Margens do rio Paraná.","UEC082730","UEC082730","Hunziker, AT","1977","03","26","Santa Helena","-54.3328018188477","-24.8603000640869",NA,NA,"1978","23937","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-21 19:38:57-03","UFC","EAC","48058","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Oliveira, J.O.S.","s.n.","Southern America","Brasil","Alagoas","Próx. ao Rio São Francisco, Substrato argiloso",NA,"Árvore, rara, 4m, flor branca; Caatinga","EAC0048058",NA,"Castro, A.S.F.","2010","07","28","Piranhas","-37.7566986083984","-9.62360954284668",NA,NA,"2010","32231","auto",NA,NA,NA,"10","29",NA,NA,NA
"13","2021-03-21 19:38:57-03","UFC","EAC","30943","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"César, S.","03","Southern America","Brasil","Ceará","Rio Siqueira, Bom Jardim.",NA,"Árvore, fruto preto. Presença de insetos.","EAC0030943",NA,"Giacomin, L.L.","2001","05","29","Fortaleza","-38.543098449707","-3.71722006797791",NA,NA,"2011","19924","auto",NA,NA,NA,"08",NA,NA,NA,NA
"14","2021-03-21 19:38:57-03","UFC","EAC","19308","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Araújo, F.S.","182","Southern America","Brasil","Ceará","Planalto da Ibiapaba",NA,"Arbusto.; Carrasco","EAC0019308",NA,"Giacomin, L.L.","1990","11","08","Novo Oriente","-40.7742004394531","-5.53444004058838",NA,NA,"2011","28544","auto",NA,NA,NA,"08",NA,NA,NA,NA
"15","2020-12-21 16:45:30-03","MBM","MBM","42941","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Hatschbach, G.","8080","Southern America","Brazil","Paraná","Rio Piquiri, Porto Byington",NA,NA,"MBM042941","MBM042941","Smith, L.B.",NA,NA,NA,"Guaíra","-54.2557983398438","-24.0799999237061",NA,NA,NA,"33984","auto",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:45:30-03","MBM","MBM","53120","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Hatschbach, G.","39852","Southern America","Brazil","Paraná","Porto Verde",NA,NA,"MBM053120","MBM053120","Hatschbach, G.",NA,NA,NA,"Santa Helena","-54.3328018188477","-24.8603000640869",NA,NA,NA,"23937","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2015-09-20 10:15:05-03","MNHN","RECOLNAT_MNHN_P","P00606381","PreservedSpecimen",NA,NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.","isotype","Gardner, G.",NA,NA,"Brésil",NA,"Prov. d'Alagoas","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00606381' target='other'> <mi>dwc_moreinfo</mi></a>","P00606381","P00606381_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1370",NA,NA
"18","2015-09-20 05:58:16-03","MNHN","RECOLNAT_MNHN_P","P00606382","PreservedSpecimen",NA,NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.","isotype","Gardner, G.",NA,NA,"Brésil",NA,"Prov. d'Alagoas","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00606382' target='other'> <mi>dwc_moreinfo</mi></a>","P00606382","P00606382_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1370",NA,NA
"19","2015-09-20 15:56:36-03","MNHN","RECOLNAT_MNHN_P","P00606383","PreservedSpecimen",NA,NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.","isotype","Gardner, G.",NA,NA,"Brésil",NA,"Prov. d'Alagoas","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00606383' target='other'> <mi>dwc_moreinfo</mi></a>","P00606383","P00606383_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1370",NA,NA
"20","2014-01-31 08:32:00-02","MO","MOBOT","100142998","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"R. Chávez de Michel","Michel 2516","South America","Bolivia","Santa Cruz","Izozog. Comunidad guaraní de Ibasiriri, a 3 km de la La Brecha.",NA,NA,NA,NA,"M. Nee","1999","5","18","Cordillera",NA,NA,"300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"21","2017-01-18 14:14:00-02","MO","MOBOT","100345346","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"G.A. Parada|V.D. Rojas|M. Betancur|M. Huanca","Parada-Gutierrez 2740","South America","Bolivia","Santa Cruz","Frente a la capilla de Chañara, suelo pedregoso.",NA,NA,NA,NA,"M.Nee","2011","1","17","Vallegrande","-64.4094444","-18.2147222","1423.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11-3","1",NA
"22","2017-01-18 14:13:00-02","MO","MOBOT","100376958","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"M. Huanca|Miguelina Muñoz|F. Abasto","Huanca 50","South America","Bolivia","Santa Cruz","sobre el camino de chañara - anamal",NA,NA,NA,NA,"M.Nee","2011","4","14","Vallegrande","-64.4316667","-18.2230556","1400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11-3","1",NA
"23","2013-12-26 13:31:00-02","MO","MOBOT","100661467","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Michael H. Nee|R. Flores S.","Nee 54948","South America","Bolivia","Tarija","40 km (by road) NE of Palos Blancos, on road to Villa Montes.",NA,NA,NA,NA,"M. Nee","2007","3","26","Gran Chaco","-63.6033333","-21.2958333","1565.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"24","2013-12-26 13:36:00-02","MO","MOBOT","100661468","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Michael H. Nee|Steven R. Hill","Nee 55083","South America","Bolivia","Santa Cruz","0.8 km W of Camiri-Boyuibe highway on dirt road, the turnoff 2.8 km N of turnoff to Charagua at Salinas.",NA,NA,NA,NA,"M. Nee","2007","4","17","Cordillera","-63.4808334","-20.1986111","845.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
