"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","previousCatalogNumber","relatedCatalogItem","relationshipType","fieldNumber","individualCount"
"357","2021-02-08 12:45:27-03","UFRGS","ICN","142744","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza",NA,NA,NA,NA,"Hagelund, K","16218","1987","04","07","Brasil","RS","São Francisco de Paula",NA,"-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,NA,NA,"Doação de Karner Hagelund. É o mesmo do ICN 137976","Dicotyledon",NA,"América do Sul",NA,"76715","auto",NA,NA,NA,NA,NA,NA
"358","2021-02-08 12:45:27-03","UFRGS","ICN","142743","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza",NA,NA,NA,NA,"Hagelund, K","16143","1987","04","07","Brasil","RS","São Francisco de Paula",NA,"-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,NA,NA,"Doação de Karner Hagelund. É o mesmo que o ICN 137975","Dicotyledon",NA,"América do Sul",NA,"76715","auto",NA,NA,NA,NA,NA,NA
"359","2021-02-08 12:45:27-03","UFRGS","ICN","140792","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","Barboza, G",NA,NA,NA,"Reitz, R; Klein, RM","6594","1958","03","07","Brasil","SC","Vidal Ramos","Sabiá","-49.3558006286621","-27.3918991088867",NA,NA,NA,NA,NA,NA,"Arbusto; flor branca.; Mata","Dicotyledon",NA,"América do Sul",NA,"21797","auto",NA,NA,NA,NA,NA,NA
"360","2020-08-26 10:50:55-03","MCN-FZBRS","HAS","91989","PreservedSpecimen","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","Soares, E.L.C.","2006",NA,NA,"Soares, E.L.C.","250","2004","09",NA,"Brasil","Rio Grande do Sul","Riozinho",NA,"-50.4524993896484","-29.6410999298096",NA,NA,NA,NA,"HAS0091989",NA,"Beira de estrada de chão.","Magnoliophyta",NA,NA,NA,"18583","auto",NA,NA,NA,NA,NA,NA
"361","2020-08-26 10:50:55-03","MCN-FZBRS","HAS","91991","PreservedSpecimen","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz","Soares, E.L.C.","2005","04",NA,"Soares, E.L.C.","87","2005","04",NA,"Brasil","Rio Grande do Sul","São Francisco de Paula","José velho","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"HAS0091991",NA,NA,"Magnoliophyta",NA,NA,NA,"76715","auto",NA,NA,NA,NA,NA,NA
"362","2021-02-04 09:02:38-03","IBt","SP","54517","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza",NA,NA,NA,NA,"Hatschbach, G","s.n.",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363","2021-02-04 09:02:38-03","IBt","SP","299916","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","Stehmann, JR","1999","05","18","Custodio Filho, A","2630","1986","05","29","Brasil","São Paulo","Biritiba-Mirim","Estação Biológica de Boracéia","-46.0299987792969","-23.5699996948242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19656","auto",NA,NA,NA,NA,NA,NA
"364","2021-02-04 09:02:38-03","IBt","SP","119940","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza",NA,NA,NA,NA,"Hoehne, W","6193","1967","04","18","Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27904","auto",NA,NA,NA,NA,NA,NA
"365","2021-02-04 09:02:38-03","IBt","SP","165558","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza",NA,NA,NA,NA,"Sakane, M","571","1977","05","14","Brasil","São Paulo","Sete Barras",NA,"-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34059","auto",NA,NA,NA,NA,NA,NA
"366","2021-02-04 09:02:38-03","IBt","SP","153205","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","Stehmann, JR","1999","05","18","Sakane, M","546","1977","05","21","Brasil","São Paulo","Sete Barras","Reserva Florestal de Sete Barras, SP 139, ca. 80 km S de Itapetininga","-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34059","auto",NA,NA,NA,NA,NA,NA
"367","2014-09-23 10:59:46-03","G","G","G00189960","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","?",NA,NA,NA,"Hoehne, W.","6193","1967","04","18","Brazil",NA,NA,NA,"-53.08972222","-10.77305556","-53.08972222","-10.77305556",NA,NA,"G00189960",NA,"Coordinate uncertainty: Precision at the level of country Image URL: No picture available on the institution's web site",NA,NA,"AMERIQUE DU SUD",NA,NA,NA,NA,NA,NA,NA,NA,NA
