"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","class","relatedCatalogItem","monthIdentified","dayIdentified","individualCount","eventTime","fieldNumber"
"31","2021-03-15 16:37:00-03","NY","NYBG","00955668","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis","(Vell.) Moldenke","H. N. Moldenke","A. F. Regnell","I340",NA,NA,NA,"Brazil","Minas Gerais","Caldas","Prov. Minas Geraes, Caldas.","-46.3858","-21.9236",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1033226' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955668","NY00955668_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00955673","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis","(Vell.) Moldenke","H. N. Moldenke","L. O. Williams","6988","1945","05","02","Brazil","Minas Gerais","Serro","Serra de Condado, 10-12 km N of Serro.","-43.3792","-18.6047",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1033252' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955673","NY00955673_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","542247","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis","(Vell.) Moldenke","H. N. Moldenke","E. Henz","35480","1946","10","26","Brazil","Rio Grande do Sul","Sao Leopoldo","S. Leopoldo","-51.143791","-29.75136",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648996' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542247","NY00542247_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","542250","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis","(Vell.) Moldenke","H. N. Moldenke","A. Löfgren","s.n.","1898","11","14","Brazil","São Paulo","Tambaú","Corrego Fundo, linha S. Simao","-47.27","-21.7003",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649005' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542250","NY00542250_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","542254","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis","(Vell.) Moldenke","H. N. Moldenke","F. C. Hoehne","s.n.","1928","11","02","Brazil","Paraná","Ponta Grossa","Ponta Grossa","-50.077154","-25.140873",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649004' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542254","NY00542254_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2016-09-30 19:15:00-03","NY","NYBG","2341834","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis",NA,NA,"G. Niederlein","1853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fragment ex herb. Berlin. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2534953' target='other'> <mi>dwc_moreinfo</mi></a>","NY02341834","NY02341834_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2016-09-30 19:15:00-03","NY","NYBG","2341832","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis",NA,NA,"Müller","304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fragment ex herb. Berlin. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2534951' target='other'> <mi>dwc_moreinfo</mi></a>","NY02341832","NY02341832_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","00955667","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis","(Vell.) Moldenke","H. N. Moldenke","J. Evangelista de Oliveira","231","1940","10","10","Brazil","Minas Gerais","Arcos","Fazenda do Engenho - Calciolandia.","-45.5392","-20.2819",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1033215' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955667","NY00955667_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","00542259","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis","(Vell.) Moldenke","H. N. Moldenke","Y. E. J. Mexia","5268","1930","11","07","Brazil","Minas Gerais","Viçosa","Road to Cajury; Casinhas.","-42.8817","-20.7542",NA,NA,"675","675","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649002' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542259","NY00542259_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","309411","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis","(Vell.) Moldenke","M. H. Nee","M. H. Nee","49467","1998","05","24","Bolivia","Santa Cruz","Cordillera","Around highway and railroad bridges over Río Seco on N side of settlement of Río Seco, along new highway from Santa Cruz to Abapó.","-63.25","-18.65",NA,NA,"550","550","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257410' target='other'> <mi>dwc_moreinfo</mi></a>","NY00309411","NY00309411_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
