"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet"
"32","2021-03-15 16:37:00-03","NY","NYBG","02712612","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","triplinerve","Cinnamomum triplinerve","(Ruiz & Pav.) Kosterm.",NA,NA,NA,NA,"S. de O. Santos","323","2010","11","18","Brazil","Pernambuco","Igarassu","Usina São Jose, fragmento Piedade. Borda da mata.","-34.9944","-7.8408",NA,NA,"108",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2999028' target='other'> <mi>dwc_moreinfo</mi></a>","NY02712612","NY02712612_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","355168","PreservedSpecimen","Plantae","Lauraceae","Laurus","triplinervis","Laurus triplinervis","Ruiz & Pav.",NA,NA,NA,NA,"J. A. Pavon","s.n.",NA,NA,NA,"Peru",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Laurographia peruviana in hb. boiss. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=158910' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355168","NY00355168_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales","isotype",NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","355905","PreservedSpecimen","Plantae","Lauraceae","Phoebe","brasiliensis","Phoebe brasiliensis","Mez",NA,NA,NA,NA,"A. F. M. Glaziou","12132","1880","08","29","Brazil","Rio de Janeiro",NA,"Entre Jeracino et Realenzo.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110408' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355905","NY00355905_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales","syntype",NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","355205","PreservedSpecimen","Plantae","Lauraceae","Phoebe","peruviana","Phoebe peruviana","Meisn.",NA,NA,NA,NA,"J. A. Pavon","s.n.",NA,NA,NA,"Peru",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Laurographia peruviana in hb. boiss. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=728339' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355205","NY00355205_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales","isotype",NA,NA,NA,NA,NA
"36","2020-06-29 11:30:59-03","UFRJ","RFA","17132","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","triplinerve","Cinnamomum triplinerve","(Ruiz & Pav.) Kosterm.","A. Quinet","2006","02","23","P. Occhioni","7791","1975","10","30","Brasil","Rio de Janeiro","Teresópolis","Serra dos Órgãos, próximo ao Soberbo","-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,"Arvoreta de 6 a 8 m de altura. fruto imaturo","RFA43152",NA,"38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-06-29 11:30:59-03","UFRJ","RFA","39780","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","triplinerve","Cinnamomum triplinerve","(Ruiz & Pav.) Kosterm.","A. Quinet",NA,NA,NA,"Finotti R.; Caruzo J.","333",NA,NA,NA,"Brasil","Rio de Janeiro","Guapimirim","Interior de fragmento florestal cujo o entorno é ocupado por várias pequenas propriedades, antigo assentamento do INCRA","-42.845833","-22.577222","42º50'45''W","22º34'38''S","50","50","Arvore de 8 metros de altura e PAP de 40,7cm.","RFA24809",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-11-13 09:20:05-03","UFRJ","RFA","26205","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","triplinerve","Cinnamomum triplinerve","(Ruiz & Pav.) Kosterm.","A. Quinet","2001","08","07","F. M. de B. Pereira","26/29","2000","08","22","Brasil","Rio de Janeiro","Guapimirim","Fazendas Consorciadas","-42.914167","-22.593333","42º54'51''W","22º35'36''S","22","22","Árvore, altura 8,5m, DAP 16 cm, frutos verde e vermelho.","RFA38470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-11-24 17:10:45-03","UTFPR","DVPR","5631","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","triplinerve","Cinnamomum triplinerve","(Ruiz & Pav.) Kosterm.","Brotto, ML","2016","12","05","Silva, JM; Brotto, ML; Völtz, RR; Lozano, ED","9658","2016","11","30","Brasil","Paraná","Adrianópolis","Tatupeba; Estrada para João Surrá.","-48.4526","-24.4201","-48.4526","-24.4201","130","130","Árvore com 12 m de altura . Frutos maduros pretos sobre cúpula vermelha.; Floresta Ombrófila Densa Submontana, vegetação em estágio médio de sucessão.","DVPR005631",NA,NA,NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"40","2020-11-24 17:10:45-03","UTFPR","DVPR","5632","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","triplinerve","Cinnamomum triplinerve","(Ruiz & Pav.) Kosterm.","Brotto, ML","2016","12","05","Silva, JM; Brotto, ML; Völtz, RR; Lozano, ED","9663","2016","11","30","Brasil","Paraná","Adrianópolis","Tatupeba; Estrada para João Surrá.","-48.4528","-24.4104","-48.4528","-24.4104","130","130","Árvore com 10 m de altura ; frutos maduros pretos sobre cúpula vermelhas.; Floresta Ombrófila Densa Submontana, vegetação em estágio médio de sucessão.","DVPR005632",NA,NA,NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"41","2019-10-09 11:18:06-03","UFBA","ALCB","88194","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","triplinerve","Cinnamomum triplinerve","(A.Ruiz & Pav.) Kosterm.","Guedes, ML","2009","04",NA,"Guedes, ML; Gomes, FS; Guaré, F","14576","2009","02","26","Brasil","Bahia","Mucugê","Chapada Diamantina","-41.5","-13.157778","-41.5","-13.157778",NA,NA,"de ca 5 m de altura. Folhas cartáceas, discolores. Inflorescência com flores cremes e frutos imaturos verdes.",NA,NA,NA,NA,"Southern America",NA,NA,"Dicotyledon",NA,NA,NA,NA,NA,NA,NA
"42","2020-02-08 09:35:18-03","NBC","NL-BOTANY","L 0308434","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","australe","Cinnamomum australe","Vattimo","Vattimo Í de",NA,NA,NA,"Reitz R; Klein RM",NA,"1956","09","20","Brazil","Santa Catarina",NA,"Brasil, Santa Catarina, Ibirama",NA,NA,NA,NA,NA,NA,"Capoeirão<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200308434 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0308434","NL-L0308434",NA,NA,"Southern America",NA,NA,NA,"Laurales","isotype","Magnoliopsidae","138417",NA,NA,NA
