"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","recordNumber","continentOcean","class","order","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","fieldNumber","preparationType","infraspecificEpithet","individualCount","typeStatus","relatedCatalogItem","previousCatalogNumber","sex"
"31","2015-09-03 19:09:46-03","MNHN","RECOLNAT_MNHN_P","P01750130","PreservedSpecimen",NA,"Araceae","Anthurium","longifolium","Anthurium longifolium","G.Don",NA,"Gaudichaud","1831","1","1","Brasil","Rio de Janeiro",NA,"Brésil. Rio de Janeiro. Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,NA,". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01750130' target='other'> <mi>dwc_moreinfo</mi></a>","P01750130",NA,NA,NA,NA,NA,NA,"P01750130_01",NA,NA,NA,NA,NA,NA,NA,"957","hb",NA,NA,NA,NA,NA,NA
"32","2015-09-03 19:09:46-03","MNHN","RECOLNAT_MNHN_P","P01750131","PreservedSpecimen",NA,"Araceae","Anthurium","longifolium","Anthurium longifolium","G.Don",NA,"s.c.",NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio de Janeiro. Rio de Janeiro, Rio de Janeiro, Sudeste, Brasil, América do Sul","-43.2075004577637","-22.9027996063232","57442",". s.d. cultivado no Parque <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01750131' target='other'> <mi>dwc_moreinfo</mi></a>","P01750131","auto",NA,NA,NA,NA,NA,"P01750131_01",NA,NA,NA,NA,NA,NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA
"33","2020-12-11 11:43:21-03","UFMG","BHCB","11354","PreservedSpecimen","Plantae","Araceae","Anthurium","longifolium","Anthurium longifolium",NA,NA,"Leone, LS","1987","09","15","Brasil","Minas Gerais","Carangola","Fazenda Santa Rita.","-42.0293998718262","-20.7331008911133","21913","Encontrada sobre rochas entre briófitas","BHCB037062","auto","Monocotyledon","99","Southern America",NA,NA,"BHCB037062",NA,NA,NA,NA,"2003","02","11",NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-12-11 11:43:21-03","UFMG","BHCB","48102","PreservedSpecimen","Plantae","Araceae","Anthurium","longifolium","Anthurium longifolium",NA,NA,"Lombardi, JA","1999","07","10","Brasil","Minas Gerais","Fervedouro","Parque Estadual da Serra do Brigadeiro.","-42.2789001464844","-20.7255992889404","20038","folhas verdes, coriáceas, infrutescências marrom-escuras","BHCB037061","auto","Monocotyledon","s.n.","Southern America",NA,NA,"BHCB037061",NA,NA,NA,NA,"2003","02","18",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-02-11 17:17:54-03","UFPR","UPCB","55458","PreservedSpecimen","Plantae","Araceae","Anthurium","longifolium","Anthurium longifolium","G.Don","Kersten, R.","Kersten, R.","2003","11","06","Brasil","Paraná","Piraquara","Haras Santo Antonio","-49.0633010864258","-25.4416999816895","12577","Epífita. Transição floresta ombrófila mista/densa..",NA,"auto",NA,"720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-02-11 17:17:54-03","UFPR","UPCB","4107","PreservedSpecimen","Plantae","Araceae","Anthurium","longifolium","Anthurium longifolium","G.Don","Hatschbach, G.","Hatschbach, G.","1962","08","15","Brasil","Paraná","Campina Grande do Sul","Rod. BR 2 - Serra do Espia","-49.0553016662598","-25.3055992126465","55154","Epífita da mata pluvial vertente atlântica..",NA,"auto",NA,"9232",NA,NA,NA,NA,NA,NA,NA,NA,"1996","09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2018-12-10 13:05:00-02","MO","MOBOT","101087982","PreservedSpecimen","Plantae","Araceae","Anthurium","longifolium","Anthurium longifolium","(Hoffm.) G. Don",NA,"Unknown",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown 6922","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2018-12-10 13:05:00-02","MO","MOBOT","101086048","PreservedSpecimen","Plantae","Araceae","Anthurium","longifolium","Anthurium longifolium","(Hoffm.) G. Don",NA,"Alexander C. Brade",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brade 16599","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2018-12-10 13:05:00-02","MO","MOBOT","101086812","PreservedSpecimen","Plantae","Araceae","Anthurium","longifolium","Anthurium longifolium","(Hoffm.) G. Don",NA,"Eringer, Ezechias Paulo",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eringer 1411","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2018-12-10 13:05:00-02","MO","MOBOT","101087983","PreservedSpecimen","Plantae","Araceae","Anthurium","longifolium","Anthurium longifolium","(Hoffm.) G. Don",NA,"Unknown",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown 6663","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2008-05-27 22:02:00-03","MO","MOBOT","377128","PreservedSpecimen","Plantae","Araceae","Anthurium","longifolium","Anthurium longifolium","Engl.","T.B. Croat (MO)","Grady L. Webster|et al.","1993","9","1","Ecuador","Pichincha","Quito","Bosque Protector Maquipucuna, above Río Pichan, 7.5 km airline SE of Nanegalito","-78.61666","0.03472",NA,NA,NA,NA,NA,"Webster 30203","South America",NA,NA,NA,NA,NA,"2030.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2008-05-27 22:02:00-03","MO","MOBOT","2782303","PreservedSpecimen","Plantae","Araceae","Anthurium","longifolium","Anthurium longifolium","(Hoffm.) G. Don","E.G. Gonçalves","E.G. Gonçalves","2001","1","31","Brazil","Minas Gerais",NA,"Carangola. Reserva Ecológica Agua Limpa. Floresta de galeria.",NA,NA,NA,NA,NA,NA,NA,"Gonçalves 714","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
