"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","fieldNumber","typeStatus","individualCount"
"43","2021-03-30 12:53:49-03","EAO","IAN","96582","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez","Zuloaga, FO","Andrade, J","52","1954",NA,NA,"Southern America","Brasil","Pará","I.A.N. Cultivado no graminetum, canteiro E-2.",NA,NA,"IAN096582",NA,"Belém","-48.5043983459473","-1.4558299779892",NA,NA,NA,NA,"1988","12","48462","auto",NA,NA,NA,NA,NA,NA
"44","2021-03-30 12:53:49-03","EAO","IAN","51181","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"Fróes, RL; Black, GA","24658","1949","06","26","Southern America","Brasil","Pará","Rio Tocantins; Ilha da Praia; terreno arenoso, muito exposto ao sol.",NA,"Capim da sombra dos arbustos com 1-1,5m; panículas afiladas nas extremidades, colmos em baixo, roxos.","IAN051181",NA,"Marabá","-49.1178016662598","-5.36860990524292",NA,NA,NA,NA,NA,NA,"262883","auto",NA,NA,NA,NA,NA,NA
"45","2021-03-30 12:53:49-03","EAO","IAN","66888","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"Swallen, JR","5109","1934","07","19","Southern America","Brasil","Pará",NA,NA,NA,"IAN066888",NA,"Óbidos","-55.5181007385254","-1.91750001907349",NA,NA,NA,NA,NA,NA,"479825","auto",NA,NA,NA,NA,NA,NA
"46","2021-03-30 12:53:49-03","EAO","IAN","54571","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez","Zuloaga, FO","Black, GA; Lobato, JJ","9301","1950","03","20","Southern America","Brasil","Pará","Beira do rio Cambú.",NA,"Submersa; inflorescência verde azulada; caule ôco semelhante ao da cana.","IAN054571",NA,"Soure","-48.5233001708984","-0.716666996479034",NA,NA,NA,NA,"1988","12","69952","auto",NA,NA,NA,NA,NA,NA
"47","2020-11-26 18:09:16-03","CPAN-UFMS","COR","8509","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Panicum","hylaeicum","Panicum hylaeicum","Mez","A. Guglieri","Damasceno Junior, G.A.; Nakajima, J.N.; Romero, R. Pott, V.J.","2974","2001","11","21",NA,"Brasil","Mato Grosso do Sul","Corixo Moquem. Área inundável - Corixo Moquem; ; plano.",NA,NA,NA,NA,"Corumbá","-57.6533012390137","-19.0091991424561",NA,NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA
"48","2020-02-08 10:18:47-03","NBC","NL-BOTANY","L.1294123","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"Reitz R; Klein RM",NA,"1959","03","14","Southern America","Brazil",NA,"Santa Catarina, Riachuelo, Lontras, Rio do Sul, Beira rio.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1294123 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1294123","NL-L1294123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"49","2020-02-08 10:18:47-03","NBC","NL-BOTANY","L.1294124","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"Riedel JGF",NA,NA,NA,NA,"Southern America","Brazil",NA,"Brasilia.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1294124 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1294124","NL-L1294124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"50","2020-02-08 10:18:47-03","NBC","NL-BOTANY","L.1294125","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"Balansa B",NA,"1884","06","13","Southern America","Brazil",NA,"Santos.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1294125 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1294125","NL-L1294125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"51","2020-02-08 10:18:47-03","NBC","NL-BOTANY","L.3811959","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Panicum","hylaeicum","Panicum hylaeicum","Mez",NA,"Zardini EM; Guerrero L",NA,"1993","06","22","Southern America","Paraguay",NA,"Central, estero del Tpoá: Puerto Guyratí on Paraguay river.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3811959 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3811959","NL-L3811959",NA,"-57.6","-25.6",NA,NA,"-57.6","-25.6",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"52","2020-02-08 10:18:47-03","NBC","NL-BOTANY","U.1502824","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Panicum","hylaeicum","Panicum hylaeicum","Mez","Judziewicz EJ","Clarke HD",NA,"1997","02","25","Southern America","Guyana","Upper Takutu-Upper Essequibo",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1502824 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1502824","NL-U1502824",NA,"-58.75","3.283333",NA,NA,"-58.75","3.283333",NA,NA,NA,NA,"Magnoliopsidae","U 0047557",NA,NA,NA,NA
"53","2020-02-08 10:18:47-03","NBC","NL-BOTANY","U.1502826","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Panicum","hylaeicum","Panicum hylaeicum","Mez","Judziewicz EJ","Hoock JML",NA,"1955","11","05","Southern America","French Guiana",NA,"Saut Mapaou, Bassin de l'Approuague",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1502826 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1502826","NL-U1502826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0061530",NA,NA,NA,NA
"54","2020-02-08 10:18:47-03","NBC","NL-BOTANY","U.1502827","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Panicum","hylaeicum","Panicum hylaeicum","Mez","Judziewicz EJ","Hoock JML",NA,"1955","12","18","Southern America","French Guiana",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1502827 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1502827","NL-U1502827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0061529",NA,NA,NA,NA
