"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","phylum","order","typeStatus","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","infraspecificEpithet","sex"
"1243","2021-03-04 15:45:13-03","IF","SPSF","02815","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia",NA,"J.P.Coelho",NA,NA,NA,"Brasil","SP","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,"Arboreto de Vila Amalia",NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"América do Sul",NA,"53584","auto","Magnoliopsida",NA,NA,NA,NA,NA
"1244","2021-03-04 15:45:13-03","IF","SPSF","01899","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia",NA,"A. Rodrigues","1943","12","04","Brasil","SP","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,"Arboreto de Vila Amália",NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"América do Sul",NA,"53584","auto","Magnoliopsida",NA,NA,NA,NA,NA
"1245","2021-03-04 15:45:13-03","IF","SPSF","01816","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia",NA,"D.Bento Pickel","1942","12","14","Brasil","SP","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,"Arboreto de Vila Amália",NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"América do Sul",NA,"53584","auto","Magnoliopsida",NA,NA,NA,NA,NA
"1246","2021-03-04 15:45:13-03","IF","SPSF","05700","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia",NA,"O.T. Aguiar & J.B.Baitello","1977","11","10","Brasil","SP","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,"Serra da Cantereira",NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: Chapada&nf;;",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"América do Sul",NA,"53584","auto","Magnoliopsida",NA,NA,NA,NA,NA
"1247","2021-03-04 15:45:13-03","IF","SPSF","09642","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia",NA,"O.T. Aguiar & J.A.Pastore","1986","01","30","Brasil","SP","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,"157","Serra da Cantereira",NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: Chapada&nf;;",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"América do Sul",NA,"53584","auto","Magnoliopsida",NA,NA,NA,NA,NA
"1248","2021-03-04 15:45:13-03","IF","SPSF","12622","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia",NA,"O.T. Aguiar","1988","11","17","Brasil","SP","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,"278","Serra da Cantereira",NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: Chapada&nf;;",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"América do Sul",NA,"53584","auto","Magnoliopsida",NA,NA,NA,NA,NA
"1249","2021-03-04 15:45:13-03","IF","SPSF","07507","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia",NA,"D.Gonzaga","1938","11","05","Brasil","SP","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,"Vila Amália",NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"América do Sul",NA,"53584","auto","Magnoliopsida",NA,NA,NA,NA,NA
"1250","2021-03-04 15:45:13-03","IF","SPSF","07368","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia",NA,"A. Rodrigues","1943","12","05","Brasil","SP","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,"Vila Amália",NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"América do Sul",NA,"53584","auto","Magnoliopsida",NA,NA,NA,NA,NA
"1251","2021-03-04 15:45:13-03","IF","SPSF","06133","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia","O.Berg","A.C.Dias & F.C.Serio","1980","10","21","Brasil","SP","Teodoro Sampaio","-52.1599998474121","-22.5300006866455",NA,NA,NA,NA,"Osny T. Aguiar",NA,"P.E.Morro do Diabo",NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: Árvore com + - 7m alt, flores brancas.;","2017","09","01","Magnoliophyta","Myrtales",NA,"América do Sul",NA,"54606","auto","Magnoliopsida",NA,NA,NA,NA,NA
"1252","2021-03-04 15:45:13-03","IF","SPSF","17868","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia",NA,"J.B.Baitello","1994","12","07","Brasil","SP","Teodoro Sampaio","-52.1599998474121","-22.5300006866455",NA,NA,NA,NA,NA,"733","P.E.Morro do Diabo",NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"América do Sul",NA,"54606","auto","Magnoliopsida",NA,NA,NA,NA,NA
