"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","fieldNumber","individualCount"
"35","2021-03-24 17:09:16-03","UFES","SAMES","2877","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meisn.) Rohwer","Menezes,L.F.T.; Sá,C.F.C.;Ribeiro,R.;Faria,M.B.;Teotônio,F.C.","1645","2007","03","15",NA,"Brasil","Espírito Santo","Linhares","Degredo. Vegetação de restinga. Fragmento florestal próximo ao sítio do Domingos.","-40.0722007751465","-19.3910999298096",NA,"Arbusto de 2,5m com frutos enegrecidos, hipanto amarelo.","SAMES02877",NA,"Giaretta,A.",NA,"2011","01","17","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-24 17:09:16-03","UFES","SAMES","2886","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meisn.) Rohwer","Ferreira,V.B.R.","93","2010","06","24",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale. C.N.Macanaíba (Graminóide Denso). Nativo.","-40.0722007751465","-19.3910999298096",NA,"Arbusto de 1m.","SAMES02886",NA,"Siqueira,G.S.",NA,"2011","11","21","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-24 17:09:16-03","UFES","SAMES","2880","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meisn.) Rohwer","Costa,M.A.S.; Girundi,I.S.;Faria,C.B.L.;Lecchi,M.G.;Santos,M.A.C.","5","2009","06","27",NA,"Brasil","Espírito Santo","São Mateus","Bairro Liberdade. Restinga.","-39.8588981628418","-18.716100692749",NA,"Árvore, ca. 4 m alt., folhas verdes concolores, cúpula marrom e fruto marrom claro.","SAMES02880",NA,NA,NA,NA,NA,NA,"56510","auto",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-24 17:09:16-03","UFES","SAMES","2892","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meisn.) Rohwer","Lima,C.M.; Gagno,G.P.;Rezende,M.A.S.",NA,"2009","11","28",NA,"Brasil","Espírito Santo","São Mateus","Bairro Liberdade. Vegetação de restinga, lado do lixão.","-39.8588981628418","-18.716100692749",NA,"Arvoreta de 3m de altura, com frutos verdes, sabor amargo adstrigente.","SAMES02892",NA,NA,NA,NA,NA,NA,"56510","auto",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-24 17:09:16-03","UFES","SAMES","2881","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meisn.) Rohwer","Faria,M.B.; Giaretta,A.O.","80","2007","03","24",NA,"Brasil","Espírito Santo","São Mateus","Bairro Liberdade. Vegetação de restinga pleistocênica.","-39.8588981628418","-18.716100692749",NA,"Arbusto de 3m com frutos verdes e roxos com cúpula.","SAMES02881",NA,NA,NA,NA,NA,NA,"56510","auto",NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-24 17:09:16-03","UFES","SAMES","2883","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meisn.) Rohwer","Giaretta,A.O.; Monteiro,M.M.;Lopes,L.C.M","760","2010","03","06",NA,"Brasil","Espírito Santo","São Mateus","Bairro Liberdade. Vegetação de restinga pleistocênica. Entrada de terra adjacente à fábrica de tijolos, depois do hospital Roberto Silvares no sentido São Mateus - Guriri.","-39.8588981628418","-18.716100692749",NA,"Árvore de 6 cm com cúpulo vermelho e fruto roxo.","SAMES02883",NA,NA,NA,NA,NA,NA,"56510","auto","-398102778.0","-187422222.0",NA,NA,NA,NA,NA,NA
"41","2021-03-24 17:09:16-03","UFES","SAMES","2878","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meisn.) Rohwer","Faria,M.B.; Menezes,L.F.T.;Giaretta,A.O.;Araújo-Filho,P.B.","112","2007","10","20",NA,"Brasil","Espírito Santo","São Mateus","Bairro Liberdade. Vegetação de restinga pleistocênica. Entrada de terra adjacente à fábrica de tijolos, depois do hospital Roberto Silvares no sentido São Mateus - Guriri.","-39.8588981628418","-18.716100692749",NA,"Planta de 6m com frutos verdes.","SAMES02878",NA,"Giaretta,A.",NA,"2010","01","17","56510","auto","-397597222.0","-187438889.0",NA,NA,NA,NA,NA,NA
"42","2021-03-24 17:09:16-03","UFES","SAMES","2887","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meisn.) Rohwer","Giaretta,A.O.; Faria,M.B.;Martins,R.F.A.","194","2008","01","16",NA,"Brasil","Espírito Santo","São Mateus","Bairro Liberdade. Vegetação de restinga pleistocênica. Estrada de terra adjacente à uma fábrica de tijolos, depois do Hospital Roberto Silvares no sentido São Mateus - Guriri.","-39.8588981628418","-18.716100692749",NA,"Planta de 4m com cúpula alaranjada e frutos enegrecidos.","SAMES02887",NA,NA,NA,NA,NA,NA,"56510","auto","-398102778.0","-187422222.0",NA,NA,NA,NA,NA,NA
"43","2021-03-24 17:09:16-03","UFES","SAMES","2879","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meisn.) Rohwer","Lopes,L.C.M.; Lobão,A.Q.","76","2009","12","07",NA,"Brasil","Espírito Santo","Conceição da Barra","Itaúnas. Parque Estadual de Itaúnas. Mata de restinga sobre feixe de cordão arenoso. Atrás da fazenda Jequitaia.","-39.7322006225586","-18.5932998657227",NA,"Árvore 5m de altura. Frutos com cúpula verde.","SAMES02879",NA,"Giaretta,A.",NA,"2011","01","17","41644","auto","-397191667.0","-184205556.0",NA,NA,NA,NA,NA,NA
"44","2021-03-24 17:09:16-03","UFES","SAMES","2884","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meisn.) Rohwer","Lopes,L.C.M.; Giaretta,A.O.;Monteiro,M.M.","172","2010","03","14",NA,"Brasil","Espírito Santo","Conceição da Barra","Itaúnas. (PEI) Mata seca de restinga sobre feixe de cordão arenoso atrás da Fazenda Jequitaia.","-39.7322006225586","-18.5932998657227",NA,"Planta de 6m com flores brancas.","SAMES02884",NA,NA,NA,NA,NA,NA,"41644","auto","-397191667.0","-184205556.0",NA,NA,NA,NA,NA,NA
