"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","class","relatedCatalogItem","typeStatus"
"69","2019-07-09 13:26:16-03","F","FMNH-SEEDPLANTS","V0165007F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Euphorbiaceae","Caryodendron","grandifolium","Caryodendron grandifolium",NA,NA,"A. Glaziou","6708",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"V0165007F","V0165007F_01","-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"70","2019-07-09 13:24:02-03","F","FMNH-SEEDPLANTS","V0191441F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Euphorbiaceae","Caryodendron","grandifolium","Caryodendron grandifolium",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"V0191441F","V0191441F_01","-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"71","2019-07-09 13:24:02-03","F","FMNH-SEEDPLANTS","V0191447F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Euphorbiaceae","Caryodendron","grandifolium","Caryodendron grandifolium",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"V0191447F","V0191447F_01","-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"72","2019-07-09 13:27:04-03","F","FMNH-SEEDPLANTS","V0191450F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Euphorbiaceae","Caryodendron","grandifolium","Caryodendron grandifolium",NA,NA,"A. Glaziou","6708","1873",NA,NA,"South America","Brazil",NA,NA,NA,NA,"V0191450F","V0191450F_01","-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"73","2019-07-09 13:27:04-03","F","FMNH-SEEDPLANTS","V0191448F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense",NA,NA,"J. Spada","55/72","1972","11","7","South America","Brazil",NA,NA,NA,NA,"V0191448F","V0191448F_01","-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"74","2020-01-27 18:24:41-03","IAC","IAC","46906","S","Plantae",NA,NA,"Euphorbiaceae-2.Acalyphoideae","Caryodendron","janeirense","Caryodendron janeirense","Müll.Arg.","Cordeiro, Inês","R.B. Torres; L.C. Bernacci; J.A.M.A. Gomes; E. Ramos & O.A. Santos","1693","2006","02","23",NA,"Brasil","São Paulo","Fazenda Capricórnio",NA,NA,NA,NA,"-45.084632","-23.366386","Ubatuba",NA,NA,"-45.084632","-23.366386",NA,NA,"2014","10","13",NA,NA,NA,NA,NA
"75","2020-01-27 18:24:41-03","IAC","IAC","36940","S","Plantae",NA,NA,"Euphorbiaceae-2.Acalyphoideae","Caryodendron","janeirense","Caryodendron janeirense","Müll.Arg.","I. Cordeiro","F.A.L. Moraes","48","1998","07","22",NA,"Brasil","São Paulo","IAC, Av. Barão de Itapura, Parque",NA,NA,NA,NA,"-47.065751","-22.9056","Campinas",NA,NA,"-47.065751","-22.9056",NA,NA,"2004","04","22",NA,NA,NA,NA,NA
"76","2020-01-27 18:24:41-03","IAC","IAC","38372","S","Plantae",NA,NA,"Euphorbiaceae-2.Acalyphoideae","Caryodendron","janeirense","Caryodendron janeirense","Müll.Arg.","F.A.L. Moraes","F.A.L. Moraes","151","1999","08","26",NA,"Brasil","São Paulo","IAC, Av. Barão de Itapura, Parque",NA,NA,NA,NA,"-47.065751","-22.9056","Campinas",NA,NA,"-47.065751","-22.9056",NA,NA,"1999","08","26",NA,NA,NA,NA,NA
"77","2020-01-27 18:24:41-03","IAC","IAC","39388","S","Plantae",NA,NA,"Euphorbiaceae-2.Acalyphoideae","Caryodendron","janeirense","Caryodendron janeirense","Müll.Arg.","I. Cordeiro","J.E.A. Bertoni & A. Geremias","71","1999","12","06",NA,"Brasil","São Paulo","IAC, Fazenda Santa Elisa, Monjolinho, Quadra Terra Roxa Encaroçada, Linha 1 planta 34",NA,NA,NA,NA,"-47.086761","-22.863721","Campinas",NA,NA,"-47.086761","-22.863721",NA,NA,"2004","04","06",NA,NA,NA,NA,NA
"78","2020-01-27 18:24:41-03","IAC","IAC","42662","S","Plantae",NA,NA,"Euphorbiaceae-2.Acalyphoideae","Caryodendron","janeirense","Caryodendron janeirense","Müll.Arg.","I. Cordeiro","J.E.A. Bertoni & A. Geremias","792","2002","10","12",NA,"Brasil","São Paulo","IAC, Fazenda Santa Elisa, Monjolinho, Quadra da Terra Roxa, L3 - P41",NA,NA,NA,NA,"-47.086761","-22.863721","Campinas",NA,NA,"-47.086761","-22.863721",NA,NA,"2004","04","12",NA,NA,NA,NA,NA
