"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"50","2020-07-23 12:17:35-03","CEPLAC","CEPEC","74338","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha borealis",NA,"Sem Informação","P. Gasson","6025","2004","02","05",NA,"Brasil","Bahia","Vntura, beira do rio, um pouco acima do povoado.",NA,NA,NA,NA,"borealis",NA,NA,NA,NA,"MORRO DO CHAPÉU","-41.1561012268066","-11.5500001907349",NA,NA,"98143","auto",NA,NA,NA,NA,NA
"51","2020-11-04 17:30:12-03","UEM","HUEM","26263","S","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","P.Fiaschi","Fernandes, CEB; Rosado; Pulzatto, MM; R.Pacífico; S.Rodrigues","272","2013","05","22",NA,"Brasil","Mato Grosso do Sul","rio Ivinhema, Lagoa do Finado Raimundo, interior da mata, cerca de 80,0 m da margem",NA,"Herbácea; botões florais de coloração verde; flores de coloração amarela; frutos imaturos de coloração verde","HUEM000009700","HUEM000009700",NA,NA,NA,"2015","09","Jateí","-53.540278","-22.7925","-53.540278","-22.7925",NA,NA,NA,NA,NA,NA,NA
"52","2020-11-04 17:30:12-03","UEM","HUEM","26653","S","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","P.Fiaschi","Pulzatto, MM; Rosado; R.Pacífico; Fernandes, CEB; S.Rosdrigues","88","2013","05","23",NA,"Brasil","Mato Grosso do Sul","Rio Baía, Lagoa do arroz",NA,"Subarbustiva, cerca de 1,0 m de altura; frutos imaturos de coloração verde","HUEM000009689","HUEM000009689",NA,NA,NA,"2015","09","Batayporã","-53.13","-22.557222","-53.13","-22.557222",NA,NA,NA,NA,NA,NA,NA
"53","2020-11-04 17:30:12-03","UEM","HUEM","26659","S","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","P.Fiaschi","S.Rodrigues; Rosado; R.Pacífico; Fernandes, CEB; Pulzatto, MM","183","2013","05","23",NA,"Brasil","Mato Grosso do Sul","Rio Baía, lagoa do Arroz",NA,"Herbácea, cerca de 15 cm de altura; botões florais de coloração verde; flores de coloração amarela; frutos imaturos de coloração verde","HUEM000009698","HUEM000009698",NA,NA,NA,"2015","09","Batayporã","-53.130278","-22.557778","-53.130278","-22.557778",NA,NA,NA,NA,NA,NA,NA
"54","2020-11-04 17:30:12-03","UEM","HUEM","29419","S","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","P. Fiaschi","Teixeira, FA; Teixeira, VA; Bento Fernandes, CE; Capatti, VA","30","2015","07","23",NA,"Brasil","Mato Grosso do Sul","rio Ivinhema, margem esquerda, Parque Estadual das",NA,"Herbácea, botões florais coloração verde, flores coloração amarela. Ambiente: margem do rio, floresta, alagável.","HUEM000009691","HUEM000009691",NA,"234","234","2015","09","Naviraí","-53.657778","-23.008056","-53.657778","-23.008056",NA,NA,NA,NA,NA,NA,NA
"55","2020-11-04 17:30:12-03","UEM","HUEM","21591","S","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","P. Fiaschi","Almeida, CG; Ma.C.Souza; Rosa, GS; Bento Fernandes, CE; J.G.Servilheri","101","2011","11","01",NA,"Brasil","Mato Grosso do Sul","foz do rio Samambaia, margem direita, fazenda Fortaleza",NA,"Herbácea; flores coloração amarela.","HUEM000009695","HUEM000009695",NA,NA,NA,"2015","09","Batayporã","-53.2710990905762","-22.2952995300293",NA,NA,"52218","auto",NA,NA,NA,NA,NA
"56","2020-11-04 17:30:12-03","UEM","HUEM","21589","S","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","P. Fiaschi","Bento Fernandes, CE; Ma.C.Souza; J.G.Servilheri; Almeida, CG; Rosa, GS","107","2011","11","01",NA,"Brasil","Mato Grosso do Sul","foz do rio Samambaia, margem direita, fazenda Fortaleza",NA,"Herbácea, cerca de 0,10m de altura; botões florais coloração verde, flores coloração amarela.","HUEM000009690","HUEM000009690",NA,NA,NA,"2015","09","Batayporã","-53.2710990905762","-22.2952995300293",NA,NA,"52218","auto",NA,NA,NA,NA,NA
"57","2019-07-02 15:56:18-03","UEM","HUEM","29421","S","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","P. Fiaschi","M.E.Previdello","54","1994","09","18",NA,"Brasil","Mato Grosso do Sul","rio Ivinhema, jusante ao campinho, após a lagoa",NA,"Herbácea; flores coloração amarela. Frequente. Solo sujeito a alagamento. Ecótono água/terra.","HUEM000009693","HUEM000009693",NA,NA,NA,"2015","09","Jateí","-54.3025016784668","-22.4818992614746",NA,NA,"85335","auto",NA,NA,NA,NA,NA
"58","2019-07-02 15:56:18-03","UEM","HUEM","7769","S","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","P.Fiaschi","M.P.Fachini","300",NA,NA,NA,NA,"Brasil","Mato Grosso do Sul","rio Baía, foz do rio Paraná, ponto 18",NA,NA,"HUEM000009699","HUEM000009699",NA,NA,NA,"2015","09","Taquarussu","-53.3513984680176","-22.4878005981445",NA,NA,"63482","auto",NA,NA,NA,NA,NA
"59","2020-11-04 17:30:12-03","UEM","HUEM","22050","S","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","P. Fiaschi","Romagnolo, MB","156","1996","11","19",NA,"Brasil","Mato Grosso do Sul","Rio Paraná, margem direita (área 3)",NA,"Herbácea. Flor de coloração amarela.","HUEM000009694","HUEM000009694",NA,NA,NA,"2015","09","Taquarussu","-53.3513984680176","-22.4878005981445",NA,NA,"63482","auto",NA,NA,NA,NA,NA
"60","2019-07-02 15:56:18-03","UEM","HUEM","29424","S","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","P.Fiaschi","V. Tomazini; R. Zampar","450","2002","10","26",NA,"Brasil","Paraná","rio Paraná, margem esquerda, entre a base e o ribe",NA,"Escandente; flores coloração amarela; cresce no paredão.","HUEM000009697","HUEM000009697",NA,NA,NA,"2015","09","Porto Rico","-53.2668991088867","-22.7721996307373",NA,NA,"18063","auto",NA,NA,NA,NA,NA
"61","2019-07-02 15:56:18-03","UEM","HUEM","29418","S","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","P. Fiaschi","V. Tomazini","s.n.","2006","06","27",NA,"Brasil","Paraná","rio Paraná, margem esquerda, paredão rochoso",NA,"Herbácea; flores coloração amarela; próximo à margem.","HUEM000009696","HUEM000009696",NA,NA,NA,"2015","09","Porto Rico","-53.2668991088867","-22.7721996307373",NA,NA,"18063","auto",NA,NA,NA,NA,NA
"62","2019-07-02 15:56:18-03","UEM","HUEM","29423","S","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","P. Fiaschi","V. Tomazini; col.","197","2005","11","02",NA,"Brasil","Paraná","paredão rochoso na margem esquerda do rio Paraná",NA,"Rupícola; herbácea; flores coloração amarela, frutos imaturos.","HUEM000009692","HUEM000009692",NA,NA,NA,"2015",NA,"São Pedro do Paraná","-53.2200012207031","-22.8239002227783",NA,NA,"25063","auto",NA,NA,NA,NA,NA
"63","2019-11-01 15:07:35-03","UnB","UB","138963","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","Lourteig, A","Pereira, E","7833","1963","11","11","Southern America","Brasil","Paraná ",NA,NA,"Arbusto 0,5m.; Porto Franco, margem do Rio Paraná",NA,NA,NA,NA,NA,"1967",NA,"Foz do Iguaçu","-54.5881004333496","-25.5478000640869",NA,NA,"39570","auto",NA,NA,NA,NA,NA
"64","2020-08-20 14:58:44-03","UFSC","FLOR","66415","PreservedSpecimen","Plantae",NA,"Oxalidales","Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","Fiaschi, P.","Siqueira, E.L.; Ianela, M.; Moraes, A.","2569","2018","05","03",NA,"Brasil","Paraná","Parque Nacional do Iguaçu. Macuco Safári.",NA,"erva, ca. 25cm, heliófita, rupícola. Flores e botões florais amarelos. Relevo ondulado. Vegetação: Floresta Estacional Semidecidual aluvial. Duplicata de HCF 25500","FLOR0066415","FLOR0066415",NA,"197","197","2019","04","Foz do Iguaçu","-54.457778","-25.647778","54º27'28''W","25º38'52''S",NA,NA,NA,NA,NA,NA,NA
"65","2020-08-20 14:58:44-03","UFSC","FLOR","36961","PreservedSpecimen","Plantae",NA,"Oxalidales","Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig",NA,"Hatschbach, G.","15823","1967","01","22",NA,"Brasil","Paraná","Rio Paraná, Porto Camargo.",NA,"erva, flor amarela","FLOR0036961",NA,NA,NA,NA,NA,NA,"Icaraíma","-53.613899230957","-23.3955993652344",NA,NA,"21289","auto",NA,NA,NA,NA,NA
"66","2019-11-21 10:13:58-03","IBt","SP","180717","S","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","Fiaschi, P","Custodio Filho, A; Kirizawa, M","829","1982","03","21",NA,"Brasil","Paraná","Parque Nacional de Sete Quedas, Área a ser inundada pela represa da Itaipu, região dos Saltos",NA,NA,NA,NA,NA,NA,NA,"2004","08","Guaíra","-54.183333","-24.066667","-54.183333","-24.066667",NA,NA,NA,NA,NA,NA,NA
"67","2019-11-21 10:13:58-03","IBt","SP","338369","S","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","Lourteig, A","Hatschbach, G","15283","1967","01","22",NA,"Brasil","Paraná","Rio Paraná, Porto Camargo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Icaraíma","-53.613899230957","-23.3955993652344",NA,NA,"21289","auto",NA,NA,NA,NA,NA
"68","2020-07-02 08:40:52-03","IBt","SP","277802","S","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig",NA,"Kirizawa, M","3108","1995","05","17",NA,"Brasil","São Paulo","Reserva Estadual Lagoa São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presidente Epitácio","-52.1100006103516","-21.7600002288818",NA,NA,"59255","auto",NA,NA,NA,NA,NA
