"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","occurrenceRemarks","individualCount","phylum","class","order","continentOcean","preparationType","coordinatePrecision","geoFlag","relatedCatalogItem","relationshipType","fieldNumber","typeStatus","previousCatalogNumber","sex"
"31","2020-11-13 09:20:35-03","UFRJ","RFA","38303","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","recurva","Gomesa recurva","R.Br.","M. S. Wängler, F.F.A.V. Barberena; M. O. Pellegrini","2012","03","30","M. S. Wängler; V. S. Ferreira","2011","11","25","Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre, Alameda Água Fria - Corina","-43.378333","-22.447778","43º22'42''W","22º26'52''S",NA,NA,"RFA38879",NA,"976","Erva epífita de 22cm, raízes brancas, pseudobulbo fusiforme, verde, duas folhas apicais e duas basais, verdes, duas inflorescências racemosas, flores amarelas. Floresceu em cultivo em jan/2012.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-11-13 09:20:35-03","UFRJ","RFA","38304","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","recurva","Gomesa recurva","R.Br.","M. S. Wängler, F.F.A.V. Barberena; M. O. Pellegrini","2012","03","30","M. S. Wängler; A. M. Paiva; M. O. Pellegrini; V. S. Fereira","2010","12","12","Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre, Divino Vale.","-43.398611","-22.445556","43º23'55''W","22º26'44''S",NA,NA,"RFA38865",NA,"290","Erva epífita de 21 cm, raízes brancas, pseudobulbo fusiforme, verde, duas folhas apicais e duas basais, verdes, duas inflorescências racemosa, ca.20 flores amarelas em cada uma. Floresceu em cultivo em 12/2011.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-11-13 09:20:35-03","UFRJ","RFA","38305","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","recurva","Gomesa recurva","R.Br.","M. S. Wängler, F.F.A.V. Barberena; M. O. Pellegrini","2011","12","13","M. S. Wängler; V. S. Ferreira","2011","12","01","Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre, Estrada do Marão, pasto em frente ao Marão.","-43.373333","-22.398056","43º22'24''W","22º23'53''S",NA,NA,"RFA38866",NA,"988","Erva epífita de 24 cm, raízes brancas, pseudobulbo fusiforme, verde, duas folhas apicais e duas basais, verdes, inflorescência racemosa, mais de 44 flores amarelas; coluna branca, borda alaranjada no entorno do viscídium. Vegetando em g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-11-13 09:20:35-03","UFRJ","RFA","38301","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","recurva","Gomesa recurva","R.Br.","M. S. Wängler","2012","03","30","A. M. Paiva; M. S. Wängler; M. O. Pellegrini; R. C. Lopes; V. S. Ferreira","2010","09","11","Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre, Água Fria.","-43.380556",NA,"43º22'50''W","22º26'95''S",NA,NA,"RFA38877",NA,"404","Erva epífita de 18 cm, raízes brancas, pseudobulbo fusiforme, verde, duas folhas apicais e duas basais, verdes, uma inflorescência racemosa, ca.20 flores amarelas odoríferas. Floresceu em cultivo em 12/2011.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-04-08 17:44:59-03","EAO","IAN","19019","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","fischeri","Gomesa fischeri","Regel",NA,NA,NA,NA,"sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN019019","IAN019019_f","s.n.",NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-12-04 15:26:36-03","PUCPR","HUCP","20968","S","Plantae","Orchidaceae","Gomesa","paranensoides","Gomesa paranensoides","M.W. Chase. & N.H.Williams","Kersten, RA",NA,NA,NA,"Kersten, RA","2009","10","10","Brasil","Paraná","Araucária","Rio Barigui","-49.4103012084961","-25.5930995941162",NA,NA,NA,NA,"HUCP00003025","HUCP00003025","1416",NA,NA,"Monocotiledonea",NA,NA,NA,NA,"21346","auto",NA,NA,NA,NA,NA,NA
"37","2019-12-04 15:26:36-03","PUCPR","HUCP","17826","S","Plantae","Orchidaceae","Gomesa","paranensoides","Gomesa paranensoides","M.W. Chase. & N.H.Williams","Singer, R","2006","11",NA,"Kersten, RA","2003","09","01","Brasil","Paraná","Balsa Nova","Ponte dos Arcos","-49.6356010437012","-25.5839004516602",NA,NA,NA,NA,"HUCP00003334","HUCP00003334","750",NA,NA,"Monocotiledonea",NA,NA,NA,NA,"27346","auto",NA,NA,NA,NA,NA,NA
"38","2019-12-04 15:26:36-03","PUCPR","HUCP","24380","S","Plantae","Orchidaceae","Gomesa","recurva","Gomesa recurva","Lodd.","Santos, TF",NA,NA,NA,"Santos, TF","2014","01","28","Brasil","Paraná","Balsa Nova",NA,"-49.6356010437012","-25.5839004516602",NA,NA,NA,NA,"HUCP00002477","HUCP00002477","025",NA,NA,"Monocotiledonea",NA,NA,NA,NA,"27346","auto",NA,NA,NA,NA,NA,NA
"39","2019-12-04 15:26:36-03","PUCPR","HUCP","21110","S","Plantae","Orchidaceae","Gomesa","recurva","Gomesa recurva","R.Br.","Lemos, JV",NA,NA,NA,"Lemos, JV","2008","03","17","Brasil","Paraná","Pontal do Paraná","Rio Guaraguaçu","-48.511100769043","-25.6735992431641",NA,NA,NA,NA,"HUCP00002977","HUCP00002977","067",NA,NA,"Monocotiledonea",NA,NA,NA,NA,"19508","auto",NA,NA,NA,NA,NA,NA
"40","2020-02-27 21:09:32-03","PUCPR","HUCP","23408","S","Plantae","Orchidaceae","Gomesa","recurva","Gomesa recurva","R.Br.","Hekavey, C",NA,NA,NA,"Hekavey, C","2013","04","27","Brasil","Paraná","São José dos Pinhais","RPPN Nhandara Guaricana da Usina","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,"HUCP00002438","HUCP00002438","001",NA,NA,"Monocotiledonea",NA,NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA,NA
"41","2020-10-27 11:22:07-03","PUCPR","HUCP","25336","S","Plantae","Orchidaceae","Gomesa","recurva","Gomesa recurva","Lodd.","G.A. Dettke","2017","01","30","Caxambu, MG; Monteiro, M.R.; M. Stevanato, M.","2017","01","11","Brasil","Parana","Céu Azul","Parque Nacional do Iguaçu","-53.845","-25.1536","-53.845","-25.1536","654","654","HUCP00025336","HUCP00025336","7737","Erva epífita, semi-ciófila. Flores amarelas. Forófito: <em>Alchornea triplinervia </em>&nf;(Spreng.) Relevo: suave-ondulado. Vegetação: Floresta Estacional Semidecidual Montana.",NA,"Monocotiledonea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-12-04 15:26:36-03","PUCPR","HUCP","21597","S","Plantae","Orchidaceae","Gomesa","recurva","Gomesa recurva","R.Br.",NA,NA,NA,NA,"Keller, H","2009","06",NA,"Brasil","Paraná","Morretes","Parque Estadual Pico do Marumbi","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"HUCP00002906","HUCP00002906","075",NA,NA,"Monocotiledonea",NA,NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA
