"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","locality","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","class","sex"
"51","2020-09-12 05:00:02-03","US","US","3204392","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","G. Hatschbach & O. S. Ribas","54079","1990","3","8","South America","Brazil",NA,NA,NA,"US01768688",NA,"Asterales","Chodat","Paraná","Joaquim Murtinho (mun. Pirai do Sul) Paraná","US01768688_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"52","2020-09-12 05:00:02-03","US","US","1803472","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","E. Hassler","4959",NA,NA,NA,"South America","Paraguay",NA,NA,NA,"US00125094",NA,"Asterales","Chodat",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type fragment",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"53","2020-09-12 05:00:02-03","US","US","1803481","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","Riedel, --","1444/1396","1826","2",NA,"South America","Brazil",NA,NA,NA,"US01768684",NA,"Asterales","Chodat",NA,"Pr. Cinza, Brazil","US01768684_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"54","2020-09-12 05:00:02-03","US","US","2922264","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","R. M. King & L. E. Bishop","8907A","1981","2","8","South America - Neotropics","Brazil",NA,NA,NA,"US01768679",NA,"Asterales","Chodat","Goiás","Goias: 5-12 km S of Alto Paraiso de Goias, mostly E of road to São João da Aliança","US01768679_01",NA,NA,NA,NA,"1006","1158",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"55","2021-03-15 18:25:15-03","USP","SPF","215959","PreservedSpecimen","Plantae","Asteraceae","Aldama","linearifolia","Aldama linearifolia","Loeuille, B","788","2012","12","10",NA,"Brasil",NA,NA,"Subarbusto até 1,2 m. Flores amarelas.; Cerrado antropizado.","SPF00215959",NA,NA,"(Chodat) E.E.Schill. & Panero","Mato Grosso do Sul","Rodovia MS-164, entre Ponta Porã e Antônio João. Ao lado da ferrovia.",NA,"Loeuille, B","Antônio João","-55.9474983215332","-22.1910991668701",NA,NA,NA,"38814","auto",NA,NA,"2013",NA,NA,NA,NA,NA,NA
"56","2019-09-05 15:30:15-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","E. Hassler","4959",NA,NA,NA,"South America","Paraguay",NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,NA,NA,NA,NA,"-58.1689","-23.2025",NA,NA,"Type [status unknown]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"57","2019-11-13 16:04:27-03","UNISANTA","HUSC","11888","PreservedSpecimen","Plantae","Asteraceae","Aldama","linearifolia","Aldama linearifolia","B. Loeuille; A.B. Bombo; A.L. Filartiga","788","2012","12","10",NA,"Brasil",NA,NA,"Subarbusto até 1,2m. Flores amarelas.; Cerrado antropizado.",NA,"Magnoliophyta",NA,"(Chodat) E.E.Schill. & Panero","Mato Grosso do Sul","Rodovia MS-164, entre Ponta Porã e Antônio João. Ao lado da ferrovia.",NA,"B. Loeuille","Antônio João","-55.9474983215332","-22.1910991668701",NA,NA,NA,"38814","auto",NA,NA,"2013",NA,NA,NA,NA,NA,NA
"58","2019-11-13 16:04:31-03","UNISANTA","HUSC","8439","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","Bombo, A.B.; Bombo, O.L.; Bombo, T.M.B.","60","2010","10","30",NA,"Brasil",NA,NA,"Arbusto, 1,5m. Alt. Folhas filiformes com lanosidade. Capitulos amarelos com lanosidade nas brácteas e folhas jovens.",NA,"Magnoliophyta",NA,"Chodat","Mato Grosso do Sul","A 30km da saída da cidade, estrada para Vista Alegre, margem direita ao lado da linha férrea",NA,NA,"Ponta Porã","-55.732778","-22.364444",NA,NA,NA,NA,NA,"-55.732778","-22.364444",NA,NA,NA,NA,NA,NA,NA
"59","2019-11-21 09:59:45-03","IBt","SP","332906","S","Plantae","Asteraceae","Aldama","linearifolia","Aldama linearifolia","Hatschbach, G; Schinini, A; Silva, JM","58730","1993","02","09",NA,"Brasil",NA,NA,NA,"SP032116",NA,NA,"(Chodat) E.E.Schill. & Panero","Mato Grosso do Sul","Km 22 da rodovia para Antônio João.","SP032116","Magenta, M","Ponta Porã","-55.7256011962891","-22.5361003875732",NA,NA,NA,"102608","auto",NA,NA,"2014",NA,NA,NA,NA,NA,NA
"60","2010-08-16 16:38:08-03","GH","HU-HERB","GH 00014011","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","E. Hassler","4959",NA,NA,NA,"South America","Paraguay","Sheet",NA,NA,NA,NA,NA,"Chodat",NA,"In altoplanitie et decliviis Sierra de Maracayú",NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,"4959",NA,NA,"undetermined"
