"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","infraspecificEpithet","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","sex"
"49","2021-02-23 13:22:24-03","MN","R-TIPOS","100780","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll. Arg.","Caruzo, M.B.R.","Regnell, A.F.","I - 402",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"R000100780","R000100780_001",NA,NA,"Isolectotypus",NA,NA,NA,NA,"2010","03",NA,NA,NA,NA,NA,NA
"50","2017-09-11 17:09:40-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.",NA,"?","s.n.",NA,NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,NA,"P11P2N0017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2017-09-11 16:27:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus genuinus","Müll.Arg.",NA,"Widgren, JF","339",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Caldas","Habitat in prov. Minas Geraes prope Caldas.","-46.39","-21.92",NA,NA,NA,NA,NA,NA,NA,"genuinus",NA,NA,NA,NA,NA,NA,"-46.39","-21.92",NA,NA,NA
"52","2017-09-11 16:27:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus genuinus","Müll.Arg.",NA,"Lindberg, GA","436",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Caldas","Habitat in prov. Minas Geraes prope Caldas.","-46.39","-21.92",NA,NA,NA,NA,NA,NA,NA,"genuinus",NA,NA,NA,NA,NA,NA,"-46.39","-21.92",NA,NA,NA
"53","2017-09-11 16:27:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus genuinus","Müll.Arg.",NA,"Regnell, AF","402",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Caldas","Habitat in prov. Minas Geraes prope Caldas.","-46.39","-21.92",NA,NA,NA,NA,NA,NA,NA,"genuinus",NA,NA,NA,NA,NA,NA,"-46.39","-21.92",NA,NA,NA
"54","2017-09-11 16:27:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus gymnodiscus","Müll.Arg.",NA,"Schott, HW","4650",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Rio de Janeiro","Habitat prope Rio de Janeiro.","-43.21","-22.9",NA,NA,NA,NA,NA,NA,NA,"gymnodiscus",NA,NA,NA,NA,NA,NA,"-43.21","-22.9",NA,NA,NA
"55","2017-09-11 16:27:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus genuinus","Müll.Arg.",NA,"Widgren, JF","339",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Caldas","Habitat in prov. Minas Geraes prope Caldas.","-46.39","-21.92",NA,NA,NA,NA,NA,NA,NA,"genuinus",NA,NA,NA,NA,NA,NA,"-46.39","-21.92",NA,NA,NA
"56","2017-09-11 16:27:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus genuinus","Müll.Arg.",NA,"Lindberg, GA","436",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Caldas","Habitat in prov. Minas Geraes prope Caldas.","-46.39","-21.92",NA,NA,NA,NA,NA,NA,NA,"genuinus",NA,NA,NA,NA,NA,NA,"-46.39","-21.92",NA,NA,NA
"57","2017-09-11 16:27:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus genuinus","Müll.Arg.",NA,"Regnell, AF","402",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Caldas","Habitat in prov. Minas Geraes prope Caldas.","-46.39","-21.92",NA,NA,NA,NA,NA,NA,NA,"genuinus",NA,NA,NA,NA,NA,NA,"-46.39","-21.92",NA,NA,NA
"58","2017-09-11 16:27:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus gymnodiscus","Müll.Arg.",NA,"Schott, HW","4650",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Rio de Janeiro","Habitat prope Rio de Janeiro.","-43.21","-22.9",NA,NA,NA,NA,NA,NA,NA,"gymnodiscus",NA,NA,NA,NA,NA,NA,"-43.21","-22.9",NA,NA,NA
"59","2014-09-23 11:01:31-03","G","G-DC","G00311190","S","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll. Arg.","CAT.HERB.PRODR.","Widgren, J. F.",NA,NA,NA,NA,"AMERIQUE DU SUD","Brazil",NA,NA,NA,"-53.08972222","-10.77305556",NA,"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=223399&base=img&lang=en","G00311190","G00311190",NA,NA,"ISOSYNTYPUS of Croton hemiargyreus Müll. Arg.",NA,NA,NA,NA,"2011","01","01","-53.08972222","-10.77305556",NA,NA,NA
"60","2010-08-16 16:38:43-03","A","HU-HERB","A 00257935","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müller Argoviensis",NA,"A. F. Regnell","402",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"Sheet",NA,NA,NA,NA,NA,"Isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,"402",NA,"undetermined"
"61","2010-08-16 16:38:39-03","GH","HU-HERB","GH 00047313","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müller Argoviensis",NA,"J. F. Widgren","339","1845",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,"Sheet",NA,NA,NA,NA,NA,"Isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,"339",NA,"undetermined"
"62","2010-08-16 16:38:43-03","A","HU-HERB","A 00257934","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus gymnodiscus","Müller Argoviensis",NA,"H. W. Schott","4650",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"Sheet",NA,NA,NA,NA,NA,"Isotype","gymnodiscus",NA,NA,NA,NA,NA,NA,NA,NA,"4650",NA,"undetermined"
"63","2010-08-16 16:38:43-03","A","HU-HERB","A 00257934","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus gymnodiscus","Müller Argoviensis",NA,"H. W. Schott","4650",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"Sheet",NA,NA,NA,NA,NA,"Isotype","gymnodiscus",NA,NA,NA,NA,NA,NA,NA,NA,"4650",NA,"undetermined"
"64","2014-09-23 10:57:28-03","G","G","G00012989","S","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll. Arg.","?","Collectif provisoire Cervi, A. C. & al.",NA,"1994",NA,"00","AMERIQUE DU SUD","Brazil",NA,NA,NA,"-53.08972222","-10.77305556",NA,"Coordinate uncertainty: Precision at the level of country Image URL: No picture available on the institution's web site","G00012989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-53.08972222","-10.77305556",NA,NA,NA
"65","2014-09-23 10:57:28-03","G","G","G00434530","S","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll. Arg.","Berry, P. E.","Regnell, A. F.",NA,NA,NA,NA,"AMERIQUE DU SUD","Brazil","Minas Gerais",NA,NA,"-45.44222222","-18.78777778",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00434530",NA,NA,NA,"SYNTYPUS of Croton hemiargyreus Müll. Arg.",NA,NA,NA,NA,"2004","01","01","-45.44222222","-18.78777778",NA,NA,NA
"66","2014-09-23 10:57:28-03","G","G","G00434529","S","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus var. gymnodiscus","Müll. Arg.","Berry, P. E.","Schott, H. W.","4650",NA,NA,NA,"AMERIQUE DU SUD","Brazil","Rio de Janeiro",NA,NA,"-42.9125","-22.48222222",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00434529",NA,NA,NA,"TYPUS of Croton hemiargyreus var. gymnodiscus Müll. Arg.","var. gymnodiscus",NA,NA,NA,"2004","01","01","-42.9125","-22.48222222",NA,NA,NA
"67","2014-09-23 10:57:28-03","G","G","G00434529","S","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus var. gymnodiscus","Müll. Arg.","Berry, P. E.","Schott, H. W.","4650",NA,NA,NA,"AMERIQUE DU SUD","Brazil","Rio de Janeiro",NA,NA,"-42.9125","-22.48222222",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00434529",NA,NA,NA,"TYPUS of Croton hemiargyreus var. gymnodiscus Müll. Arg.","var. gymnodiscus",NA,NA,NA,"2004","01","01","-42.9125","-22.48222222",NA,NA,NA
