"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","county","maximumElevationInMeters","decimalLongitude","decimalLatitude","individualCount","class","order","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","preparationType","geoFlag","phylum","verbatimLongitude","verbatimLatitude","dayIdentified","infraspecificEpithet"
"56","2021-03-22 16:23:46-03","FEPAGRO","BLA","7691","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. Normann-Kämpf","J. F. M. Valls","1949","1972","02","25",NA,"Brasil","Rio Grande do Sul",NA,NA,"Torres",NA,"-49.7268981933594","-29.3353004455566",NA,NA,NA,"Data de determinação: 1974. Ex ICN 9734.","BLA007691",NA,NA,NA,"20837",NA,"auto","Spermatophyta",NA,NA,NA,NA
"57","2021-03-22 16:23:46-03","FEPAGRO","BLA","16907","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","L. R. Parodi","P. N. Capparelli","321","1949","04","14",NA,"Brasil","Rio Grande do Sul",NA,"2","Torres","2","-49.7268981933594","-29.3353004455566",NA,NA,NA,"Habitat: Encontrado próximo a praia","BLA016907",NA,NA,NA,"20837",NA,"auto","Spermatophyta",NA,NA,NA,NA
"58","2021-03-22 16:23:46-03","FEPAGRO","BLA","8838","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. Normann-Kämpf","J. F. M. Valls et alii","2339","1972","11","12",NA,"Brasil","Rio Grande do Sul",NA,NA,"Torres",NA,"-49.7268981933594","-29.3353004455566",NA,NA,NA,"Data de determinação: 1974. Ex ICN 23138.","BLA008838",NA,NA,NA,"20837",NA,"auto","Spermatophyta",NA,NA,NA,NA
"59","2021-03-22 16:23:46-03","FEPAGRO","BLA","8836","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. Normann-Kämpf","J. F. M. Valls et alii","2341","1972","11","12",NA,"Brasil","Rio Grande do Sul",NA,NA,"Torres",NA,"-49.7268981933594","-29.3353004455566",NA,NA,NA,"Data de determinação: 1974. Ex ICN 23141. Duplicata no BAA.","BLA008836",NA,NA,NA,"20837",NA,"auto","Spermatophyta",NA,NA,NA,NA
"60","2021-03-22 16:23:46-03","FEPAGRO","BLA","17412","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. Normann-Kämpf","J. F. M. Valls","1949","1972","02","25",NA,"Brasil","Rio Grande do Sul",NA,NA,"Torres",NA,"-49.7268981933594","-29.3353004455566",NA,NA,NA,"Data da determinação: 1974. Ex ICN 9734. Ex BLA 8876b.","BLA017412",NA,NA,NA,"20837",NA,"auto","Spermatophyta",NA,NA,NA,NA
"61","2021-03-22 16:23:46-03","FEPAGRO","BLA","7230","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. Normann-Kämpf","A. Normann-Kämpf","331","1970","11","19",NA,"Brasil","Rio Grande do Sul","Furnas",NA,"Torres",NA,"-49.7268981933594","-29.3353004455566",NA,NA,NA,"Data de determinação: 1973. Com duplicata.","BLA007230",NA,NA,NA,"20837",NA,"auto","Spermatophyta",NA,NA,NA,NA
"62","2021-03-22 16:23:46-03","FEPAGRO","BLA","8841","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. Normann-Kämpf","J. F. M. Valls et alii","2332","1972","11","12",NA,"Brasil","Rio Grande do Sul","Morro do Farol",NA,"Torres",NA,"-49.7268981933594","-29.3353004455566",NA,NA,NA,"Ex ICN 23193. Duplicata no BAA.Habitat: Topo de morro, local com muito vento.","BLA008841",NA,"1974","01","20837",NA,"auto","Spermatophyta",NA,NA,"01",NA
"63","2021-03-22 16:23:46-03","FEPAGRO","BLA","13881","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. M. B. Hervé","C. R. Dillenburg","294",NA,NA,NA,NA,"Brasil","Rio Grande do Sul",NA,NA,"Tramandaí",NA,"-50.1335983276367","-29.9846992492676",NA,NA,NA,"Data de Coleta: 10/1980.Habitat: Entre as pedras do calçamento e o meio fio.","BLA013881",NA,NA,NA,"21077",NA,"auto","Spermatophyta",NA,NA,NA,NA
"64","2019-11-21 10:16:42-03","IBt","SP","412220","S","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","Shirasuna, RT","Shirasuna, RT; Morse, F","2196","2009","03","16",NA,"Brasil","São Paulo","Rodoanel, trecho sul, lote 1. Aterro do Lara.","833","Mauá","833","-46.4755","-23.723389",NA,NA,NA,NA,NA,NA,"2011",NA,NA,NA,NA,NA,"-46.4755","-23.723389",NA,NA
"65","2019-11-21 10:16:42-03","IBt","SP","412673","S","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","Shirasuna, RT","Shirasuna, RT","2320","2009","04","06",NA,"Brasil","São Paulo","Rodoanel, trecho sul, lote 1.","790","Mauá","790","-46.476417","-23.709139",NA,NA,NA,NA,"SP037796","SP037796","2009","04",NA,NA,NA,NA,"-46.476417","-23.709139",NA,NA
"66","2019-11-21 10:16:43-03","IBt","SP","413143","S","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","Shirasuna, RT","Shirasuna, RT","2395","2009","05","19",NA,"Brasil","São Paulo","Rodoanel, trecho sul, lote 1.","820","Mauá","820","-46.467417","-23.717222",NA,NA,NA,NA,"SP037795","SP037795",NA,NA,NA,NA,NA,NA,"-46.467417","-23.717222",NA,NA
"67","2019-11-21 10:16:43-03","IBt","SP","442556","S","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","Shirasuna, RT","Shirasuna, RT","3009","2011","11","30",NA,"Brasil","São Paulo","Morro Grande, plantio compensatório do Rodoanel, trecho Sul.","937","Cotia","937","-46.983778","-23.723972",NA,NA,NA,NA,"SP037797","SP037797","2011",NA,NA,NA,NA,NA,"-46.983778","-23.723972",NA,NA
