"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude"
"38","2019-10-07 09:20:28-03","UEFS","HUEFS","40325","PreservedSpecimen","Plantae","Angiospermae","Liliales","Smilacaceae","Smilax","salutaris","Smilax salutaris","Kunth","Melo, E.","2938","1999","09","05",NA,"Brasil","Bahia","Jacobina","Encosta do vale. Ao lado do monte Tabor.","-40.5075","-11.153056","500","500",NA,NA,"HUEFS0040325","HUEFS0040325",NA,NA,"Lilianae","F.França & M.Rodrigues","2000","01",NA,NA,NA,NA,NA,"40W30'27''","11S9'11''"
"39","2019-09-04 19:56:10-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Smilacaceae","Smilax","odontoloma","Smilax odontoloma",NA,"C. F. P. von Martius",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]","Monocotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-09-04 19:21:58-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Smilacaceae","Smilax","salutaris","Smilax salutaris",NA,"C. Gaudichaud",NA,"1835",NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]","Monocotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-09-04 19:21:58-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Smilacaceae","Smilax","salutaris","Smilax salutaris armata","A. DC.","L. Riedel",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"armata","Type [status unknown]","Monocotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-09-04 19:21:58-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Smilacaceae","Smilax","salutaris","Smilax salutaris armata","A. DC.","L. Riedel",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"armata","Type [status unknown]","Monocotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-09-04 19:18:56-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Smilacaceae","Smilax","subsessiliflora","Smilax subsessiliflora",NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]","Monocotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2017-09-11 17:14:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Smilacaceae","Smilax","odontoloma","Smilax odontoloma","Griseb.","Martius, CFP","s.n.",NA,NA,NA,"Southern America","Brazil","São Paulo",NA,"in provincia S. Pauli in silvis ad viam publicam, quae Sebastianopoli ad urbem S. Paulo ducit.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2017-09-11 17:14:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Smilacaceae","Smilax","odontoloma","Smilax odontoloma","Griseb.","Martius, CFP","s.n.",NA,NA,NA,"Southern America","Brazil","São Paulo",NA,"in provincia S. Pauli in silvis ad viam publicam, quae Sebastianopoli ad urbem S. Paulo ducit.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2017-09-11 17:14:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Smilacaceae","Smilax","subsessiliflora","Smilax subsessiliflora","Duhamel","Dombey, J","s.n.",NA,NA,NA,"Southern America","Brazil","?",NA,NA,NA,NA,NA,NA,NA,"Species Dubia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2017-09-11 17:14:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Smilacaceae","Smilax","subsessiliflora","Smilax subsessiliflora","Duhamel","Dombey, J","s.n.",NA,NA,NA,"Southern America","Brazil","?",NA,NA,NA,NA,NA,NA,NA,"Species Dubia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
