"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","class","individualCount"
"31","2019-05-06 11:54:02-03","UFU","HUFU","13005","S","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N.Nakaj.","Roque, N.","Romero, R.; Nakajima, J.N.","3618","1996","09","22",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Chapadão do Diamante.","-46.3657989501953","-20.2453002929688",NA,"Herbáceo, ca. 0,4 m. Brácteas cinza, corola branca, estames amarelos.; Campo rupestre, solo arenoso.","HUFU00058607","HUFU00058607","1999",NA,NA,NA,NA,NA,NA,"57119","auto",NA,NA,NA
"32","2019-05-06 11:54:02-03","UFU","HUFU","24178","S","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N.Nakaj.","Farinaccio, M.A.","Mello-Silva, R.; Farinaccio, M.A. & Costa, F.N.","1710","1999","10","02",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Estrada para cachoeira Casca D'Anta, 500m da estrada principal do parque.","-46.3657989501953","-20.2453002929688",NA,"Erva com sistema subterrânea. grande população. Brácteas involucrais verde-claro-acinzentadas com laivos castanhos. Pétalas creme, quase alvas. Anteras amarelas, estilete alvo.; Campo limpo.","HUFU00058616","HUFU00058616","1999","10",NA,NA,NA,NA,NA,"57119","auto",NA,NA,NA
"33","2019-05-06 11:54:02-03","UFU","HUFU","15570","S","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N.Nakaj.","Nakajima, J.N.","Nakajima, J.N.; Romero, R.; Farinaccio, M.A. & Roque, N.","2808","1997","10","15",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Estrada para o sítio do João Domingos.","-46.3657989501953","-20.2453002929688",NA,"Herbáceo, ca. 0,4 m. Brácteas creme. Capítulos com frutos maduros.; Campo limpo associado cm campo rupestre.","HUFU00058612","HUFU00058612","1998","07",NA,NA,NA,NA,NA,"57119","auto",NA,NA,NA
"34","2019-05-06 11:54:02-03","UFU","HUFU","9984","S","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N.Nakaj.","Roque, N.","Romero, R.; Nakajima, J.N.; Klein, V.L.G. & Alcantara, M.B.","2795","1995","09","26",NA,"Brasil","Minas Gerais","São Roque de Minas","Córrego da Fazenda, Morro após o vale do São Francisco.","-46.3657989501953","-20.2453002929688",NA,"Paratype.; Herbáceo ca. de 0,3 m. Brácteas verdes, corola e estigma brancos.; Campo rupestre.","HUFU00058609","HUFU00058609","1999",NA,NA,NA,NA,NA,NA,"57119","auto","Paratype",NA,NA
"35","2019-05-06 11:54:02-03","UFU","HUFU","9995","S","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N.Nakaj.","Roque, N.","Romero, R.; Nakajima, J.N.; Klein, V.L.G. & Alcantara, M.B.","2806","1995","09","26",NA,"Brasil","Minas Gerais","São Roque de Minas","Mata do Córrego do Quilombo","-46.3657989501953","-20.2453002929688",NA,"Paratype.; Subarbusto ca. de 0,8 m. Brácteas marrons, corola alva, estilete e estigma alaranjados.; Campo limpo.","HUFU00058615","HUFU00058615","1999",NA,NA,NA,NA,NA,NA,"57119","auto","Paratype",NA,NA
"36","2019-05-06 11:54:02-03","UFU","HUFU","6107","S","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N.Nakaj.","Roque, N.","Nakajima, J.N.; Romero, R. & Simão, D.G.","430","1994","08","21",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Após a nascente.","-46.3657989501953","-20.2453002929688",NA,"Paratype.; Campo rupestre. Solo arenoso.","HUFU00058614","HUFU00058614","1999",NA,NA,NA,NA,NA,NA,"57119","auto","Paratype",NA,NA
"37","2019-05-06 11:54:02-03","UFU","HUFU","9377","S","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N.Nakaj.","Roque, N.","Romero, R.; Nakajima, J.N.; Oliveira, R.C.; Oliveira, P.E.A.M. & Schiavini, I.","2454","1995","07","16",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Chapadão do Diamante.","-46.3657989501953","-20.2453002929688",NA,"Herbácea, ca. 0,4 m. Brácteas creme, corola e estigmas brancos, anteras creme.; Campo rupestre.","HUFU00058610","HUFU00058610","1999",NA,NA,NA,NA,NA,NA,"57119","auto",NA,NA,NA
"38","2019-05-06 11:54:02-03","UFU","HUFU","56521","S","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N.Nakaj.","Roque, N.","Romero, R.; Nakajima, J.N.; Farinaccio, M.A.; Furlan, A. & Prado, P.M.M.","4492","1997","08","21",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Chapadão do Diamante.","-46.3657989501953","-20.2453002929688",NA,"Paratype.; Campo rupestre.","HUFU00058608","HUFU00058608","1999",NA,NA,NA,NA,NA,NA,"57119","auto","Paratype",NA,NA
"39","2019-05-06 11:54:02-03","UFU","HUFU","15573","S","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N.Nakaj.","Nakajima, J.N.","Nakajima, J.N.; Romero, R.; Farinaccio, M.A. & Roque, N.","2842","1997","10","15",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Chapadão do Diamante, final da estrada.","-46.3657989501953","-20.2453002929688",NA,"Herbáceo, ca. 0,3 m. Brácteas creme, corola branca, anteras creme e papilho estramíneo.; Campo limpo associado com campo rupestre.","HUFU00058611","HUFU00058611",NA,NA,NA,NA,NA,NA,NA,"57119","auto",NA,NA,NA
"40","2019-05-06 11:54:02-03","UFU","HUFU","15576","S","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N.Nakaj.",NA,"Nakajima, J.N.; Romero, R.; Farinaccio, M.A.; Furlan, A. & Prado, P.M.M.","2645","1997","08","20",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Estrada para o sítio João Domingos.","-46.3657989501953","-20.2453002929688",NA,"Herbáceo, ca. 0,4 m. Brácteas esverdeadas, corola branca, anteras amareladas. Ramos do estilete creme.; Campo rupestre.","HUFU00058617","HUFU00058617",NA,NA,NA,NA,NA,NA,NA,"57119","auto",NA,NA,NA
"41","2019-05-06 11:54:02-03","UFU","HUFU","12510","S","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N.Nakaj.","Roque, N.","Romero, R.; Nakajima, J.N.","3473","1996","05","25",NA,"Brasil","Minas Gerais","São Roque de Minas","Serra Brava","-46.3657989501953","-20.2453002929688",NA,"Paratype.; Campo rupestre.","HUFU00058613","HUFU00058613","1999",NA,NA,NA,NA,NA,NA,"57119","auto","Paratype",NA,NA
"42","2021-02-23 13:21:57-03","MN","R-TIPOS","198698a","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N. Nakaj.","Roque, N.","Rossi, L.; Cordeiro, I.; Mello-Silva, R. & Pirani, J.R.","CFCR - 5782","1984","11","02",NA,"Brasil","Minas Gerais","São Tomé das Letras","Morro Gavião","-44.9852981567383","-21.7222003936768",NA,NA,"R000198698a","R000198698a_001","1999",NA,NA,NA,NA,NA,NA,"16076","auto","Isoparatypus",NA,NA
"43","2021-02-23 13:21:57-03","MN","R-TIPOS","198698","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N. Nakaj.","Roque, N.","Rossi, L.; Cordeiro, I.; Mello-Silva, R. & Pirani, J.R.","CFCR - 5782","1984","11","02",NA,"Brasil","Minas Gerais","São Tomé das Letras","Morro Gavião","-44.9852981567383","-21.7222003936768",NA,NA,"R000198698","R000198698_001","1999",NA,NA,NA,NA,NA,NA,"16076","auto","Isoparatypus",NA,NA
