"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus","individualCount","class"
"33","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","37894",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade","L. Kollmann/5-6-2009","L. Kollmann; E.Leme & D.Couto","11638","2009","06","05",NA,"Brasil","Espírito Santo","Alegre","Pedra da Caveira da Anta","-41.389167","-20.6575","1484","1484",NA,"Arbusto rupícola ao sol, frutos secos. VIDE ÁLCOOL","MBML037894",NA,NA,NA,NA,NA,NA,"41W23'21","20S39'27",NA,NA,NA
"34","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","40642",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade","L.Kollmann/02-12-2010","A. P. Fontana; F. Bernabê & J. Sezati","2203","2006","07","11",NA,"Brasil","Espírito Santo","Domingos Martins","Parque Nacional da Pedra Azul. Pedra Azul, Pedra das Flores. Floresta Ombrófila Densa. Afloramento rochoso com mata Nebular","-41.023056","-20.407222","1600","1600",NA,"Arbusto ca 1,2m. Flores lilás. Rupícola no sol","MBML040642",NA,NA,NA,NA,NA,NA,"41W1'23","20S24'26",NA,NA,NA
"35","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","53478",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade",NA,"J. Meirelles; C.N. Fraga, R. Goldenberg, A.P. Fontana, L. Kollmann, R.C. Forza, A.M. Amorim & L. Daneu","291","2009","04","07",NA,"Brasil","Espírito Santo","Castelo","Mirante. Floresta Ombrófila Densa Montana","-41.0875","-20.519444","1400","1400",NA,"Arbusto ca. 1m alt., corola lilás, estames roxos","MBML053478",NA,NA,NA,NA,NA,NA,"41W5'15","20S31'10",NA,NA,NA
"36","2020-10-20 09:56:47-03","MBML","MBML-HERBARIO","53485",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade","J. Meirelles/2010","J. Meirelles; J.B.S. Pereira & A. Tedesco","464","2010","05","20",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande. Forninho","-41.083333","-20.516667",NA,NA,NA,"Afloramento rochoso. Arbusto ca. 50cm alt., pétalas lilás e estames roxos","MBML053485",NA,NA,NA,NA,NA,NA,"41W5'","20S31'",NA,NA,NA
"37","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","41673",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","cf. castellensis","Tibouchina cf. castellensis","Brade",NA,"D.R. Couto; Pereira, M.A.; M. Numes; A. Nanni & G. Willrich","1097","2009","03","12",NA,"Brasil","Espírito Santo","Mimoso do Sul","Pedra dos Pontões","-41.3664016723633","-21.0641994476318","900","900",NA,"Arbusto rupícola; flores lilás. Jardim dos Pontões.","MBML041673",NA,NA,NA,NA,"29430","auto",NA,NA,NA,NA,NA
"38","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","38762",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","cf. castellensis","Tibouchina cf. castellensis","Brade","A.P.Fontana- 5/1/2008","D.R. Couto; Manhães, V.C.","258","2005","03","12",NA,"Brasil","Espírito Santo","Mimoso do Sul","Pedra dos Pontões","-41.3664016723633","-21.0641994476318","800","800",NA,"Saxícola. Flores rosas. Jardim dos Pontões.","MBML038762",NA,"2008","01","05","29430","auto",NA,NA,NA,NA,NA
"39","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","46259",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade",NA,"L. Kollmann; A. P. Fontana","12722","2013","05","29",NA,"Brasil","Espírito Santo","Castelo","ES 379","-41.184700012207","-20.6035995483398",NA,NA,NA,"Arbusto 2m rupícola ao sol, flores lilás","MBML046259",NA,NA,NA,NA,"23588","auto",NA,NA,NA,NA,NA
"40","2021-02-25 10:13:02-03","CVRD","CVRD","11305","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade","Baumgratz, J.F.A.","Folli, D.A.","6117","2008","06","12","América do Sul","BRASIL","ES","Castelo",NA,"-41.088539","-20.517453","1280","1280",NA,"Parque do Forno Grande <ll>dwc_commonname:</ll> Quaresminha lixeira","CVRD011305",NA,"2011","10","22",NA,NA,"-41,088539","-20,517453",NA,NA,"Magnoliopsida"
"41","2020-09-12 05:00:02-03","US","US","2459235","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade",NA,"A. C. Brade","19262*","1948","7","12","South America - Neotropics","Brazil","Espírito Santo",NA,"Proced. Estado do Espirito Santo, Mun Castelo. Frome Grande.",NA,NA,NA,NA,NA,NA,"US02919144","US02919144_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae"
"42","2020-07-23 12:13:39-03","CEPLAC","CEPEC","129234","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis",NA,"P. H. Labiak","P. H. Labiak","4943","2008","10","14",NA,"Brasil","Espírito Santo","castelo",NA,"-41.100556","-20.520556","1500","1500",NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,NA,NA,"41W6'2","20S31'14",NA,NA,NA
"43","2020-07-23 12:13:39-03","CEPLAC","CEPEC","125277","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis",NA,"R. Goldenberg","R. Goldenberg","1071",NA,NA,NA,NA,"Brasil","Espírito Santo","castelo",NA,"-41.184700012207","-20.6035995483398",NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,"23588","auto",NA,NA,NA,NA,NA
"44","2020-07-23 12:13:39-03","CEPLAC","CEPEC","125320","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis",NA,"L. Kollmann","L. Kollmann","10550",NA,NA,NA,NA,"Brasil","Espírito Santo","castelo",NA,"-41.184700012207","-20.6035995483398",NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,"23588","auto",NA,NA,NA,NA,NA
"45","2020-07-23 12:13:39-03","CEPLAC","CEPEC","125596","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis",NA,"L. Kollmann","L. Kollmann","11096",NA,NA,NA,NA,"Brasil","Espírito Santo","castelo",NA,"-41.184700012207","-20.6035995483398",NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,"23588","auto",NA,NA,NA,NA,NA
"46","2020-07-23 12:13:39-03","CEPLAC","CEPEC","125453","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis",NA,"R. Goldenberg","P. H. Labiak","4852","2008","08","19",NA,"Brasil","Espírito Santo","castelo",NA,"-41.184700012207","-20.6035995483398",NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,"23588","auto",NA,NA,NA,NA,NA
