"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","locality","individualCount","occurrenceRemarks","infraspecificEpithet","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","barcode","identifiedBy","imagecode","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem"
"55","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Binot, PM","in arboribus prov. Rio de Janeiro",NA,NA,NA,"s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"P03P6N0061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Forget","Habitat in prov. Bahia",NA,NA,NA,"s.n.",NA,NA,NA,"Southern America","Brazil","Bahia",NA,NA,NA,NA,NA,NA,"P03P6N0061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Riedel, L","in arboribus prov. Rio de Janeiro",NA,NA,NA,"s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"P03P6N0061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Weddell, HA","ad Serra de Estrella",NA,NA,NA,"s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"P03P6N0061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Fry","in Brasilia locis accuratis haud indicatis",NA,"Floret Februario",NA,"s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,"P03P6N0061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Binot, PM","in arboribus prov. Rio de Janeiro",NA,NA,NA,"s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"P03P6N0061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Schenck, H","prope Rio de Janeiro",NA,NA,NA,"2449",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075","-22.9028",NA,NA,NA,"P03P6N0061",NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"62","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Weddell, HA","ad Serra de Estrella",NA,NA,NA,"s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"P03P6N0061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Fry","in Brasilia locis accuratis haud indicatis",NA,"Floret Februario",NA,"s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,"P03P6N0061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Porte, M","in Brasilia locis accuratis haud indicatis",NA,NA,NA,"s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,"P03P6N0061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Schenck, H","prope Rio de Janeiro",NA,NA,NA,"2449",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075","-22.9028",NA,NA,NA,"P03P6N0061",NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"66","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Langsdorff, GH (Baron)","ad Mandiocca",NA,NA,NA,"52",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,"P03P6N0061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Blanchet, JS","Habitat in prov. Bahia",NA,NA,NA,"s.n.",NA,NA,NA,"Southern America","Brazil","Bahia",NA,NA,NA,NA,NA,NA,"P03P6N0061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Forget","Habitat in prov. Bahia",NA,NA,NA,"s.n.",NA,NA,NA,"Southern America","Brazil","Bahia",NA,NA,NA,NA,NA,NA,"P03P6N0061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2017-09-11 17:12:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Blanchet, JS","Habitat in prov. Bahia",NA,NA,NA,"s.n.",NA,NA,NA,"Southern America","Brazil","Bahia",NA,NA,NA,NA,NA,NA,"P03P6N0061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2021-03-03 22:00:02-03","FLAS","FLAS","181893","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Mark Whitten",NA,NA,NA,NA,"94064",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,"Preserved herbarium specimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","2019-11-21 10:13:34-03","IBt","SP","22386","S","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Marques, MW","Litoral paulista",NA,NA,NA,"s.n.","1928","02","22",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"Hoehne, FC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2019-11-21 10:13:34-03","IBt","SP","27301","S","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Loefgren, A","Juquery, em cultivo, floresce em novembro. mata.",NA,"Epífita.",NA,"CGG3677","1895","05",NA,NA,"Brasil","São Paulo",NA,NA,NA,NA,"SP009625",NA,"SP009625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2019-11-21 10:13:34-03","IBt","SP","27401","S","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Ostermeyer, R","Sem indicação de procedência",NA,NA,NA,"s.n.","1931","03","30",NA,"Desconhecido",NA,NA,NA,NA,NA,NA,"Hoehne, FC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2019-11-21 10:13:34-03","IBt","SP","330900","S","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","s.col.","Sem indicação de procedência",NA,NA,NA,"s.n.","1996","04","12",NA,"Desconhecido",NA,NA,NA,NA,NA,NA,"Buono, F",NA,"1996",NA,NA,"04",NA,NA,NA,NA,NA,NA,NA
"75","2019-11-21 10:13:34-03","IBt","SP","37081","S","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Sodré, J",NA,NA,NA,NA,"71","1936","12","12",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Hoehne, FC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","2019-11-21 10:13:34-03","IBt","SP","41448","S","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Foster, MB","Monte Claro",NA,NA,NA,"s.n.","1939","07","01",NA,"Brasil","Espírito Santo","Pancas","-40.8513984680176","-19.2250003814697",NA,NA,NA,NA,NA,"32475","auto",NA,NA,NA,NA,NA,NA,NA,NA
"77","2019-11-21 10:13:34-03","IBt","SP","45006","S","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Heringer, EP","Estação Experimental de Café",NA,NA,NA,"492","1941","02","08",NA,"Brasil","Minas Gerais","Coronel Pacheco","-43.2655982971191","-21.5877990722656",NA,NA,"Hoehne, FC",NA,NA,"10350","auto",NA,NA,NA,NA,NA,NA,NA,NA
"78","2019-11-21 10:13:34-03","IBt","SP","25659","S","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Spannagel, C",NA,NA,NA,NA,"1","1927","10",NA,NA,"Brasil","Rio de Janeiro","Petrópolis","-43.1786003112793","-22.5049991607666",NA,NA,"Hoehne, FC",NA,NA,"36524","auto",NA,NA,NA,NA,NA,NA,NA,NA
"79","2019-11-21 10:13:34-03","IBt","SP","27294","S","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Edwall, G","Raiz Nova da Serra, mata virgem.",NA,NA,NA,"CGG4052","1898","12",NA,NA,"Brasil","São Paulo","Cubatão","-46.4199981689453","-23.8899993896484",NA,"SP009624",NA,"SP009624",NA,"15123","auto",NA,NA,NA,NA,NA,NA,NA,NA
"80","2019-11-21 10:13:34-03","IBt","SP","17815","S","Plantae",NA,NA,NA,"Orchidaceae","Miltonia","spectabilis","Miltonia spectabilis","Lindl.","Gehrt, A","E.B. do Alto da Serra de Paranapiacaba, Cultivada em São Paulo (Pinheiros)",NA,NA,NA,"s.n.","1926","11","20",NA,"Brasil","São Paulo","Santo André","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,NA,"27258","auto",NA,NA,NA,NA,NA,NA,NA,NA
